Nomad Foods PE Ratio Historical Data,Nomad Foods PE Ratio Historical Data,Nomad Foods PE Ratio Historical Data,Nomad Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.94,,13.29
2024-06-30,16.35,$1.35,12.11
2024-03-31,19.24,$1.20,16.04
2023-12-31,16.53,$1.23,13.44
2023-09-30,14.85,$1.28,11.6
2023-06-30,17.09,$1.25,13.67
2023-03-31,18.28,$1.40,13.06
2022-12-31,16.82,$1.50,11.21
2022-09-30,13.85,$1.47,9.42
2022-06-30,19.5,$1.34,14.55
2022-03-31,22.02,$1.23,17.91
2021-12-31,24.76,$1.20,20.64
2021-09-30,26.88,$1.40,19.2
2021-06-30,27.57,$1.40,19.7
2021-03-31,26.78,$1.40,19.13
2020-12-31,24.79,$1.32,18.78
2020-09-30,24.85,$1.20,20.71
2020-06-30,20.92,$1.08,19.37
2020-03-31,18.1,$1.00,18.1
2019-12-31,21.82,$0.90,24.24
2019-09-30,20.0,$0.90,22.22
2019-06-30,20.83,$0.92,22.65
2019-03-31,19.95,$0.87,22.93
2018-12-31,16.31,$1.16,14.06
2018-09-30,19.76,$1.09,18.13
2018-06-30,18.72,$1.14,16.42
2018-03-31,15.35,$1.04,14.76
2017-12-31,16.49,$0.88,18.74
2017-09-30,14.21,$0.68,20.9
2017-06-30,13.76,$0.41,33.57
2017-03-31,11.17,$0.54,20.68
2016-12-31,9.33,$0.22,42.43
