Perdoceo Education PE Ratio Historical Data,Perdoceo Education PE Ratio Historical Data,Perdoceo Education PE Ratio Historical Data,Perdoceo Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.41,,10.5
2024-06-30,21.3,$2.04,10.44
2024-03-31,17.37,$2.27,7.65
2023-12-31,17.27,$2.18,7.92
2023-09-30,16.71,$2.15,7.77
2023-06-30,11.91,$1.85,6.44
2023-03-31,13.04,$1.42,9.18
2022-12-31,13.49,$1.38,9.78
2022-09-30,10.0,$1.50,6.67
2022-06-30,11.44,$1.57,7.28
2022-03-31,11.14,$1.57,7.1
2021-12-31,11.42,$1.54,7.41
2021-09-30,10.25,$1.57,6.53
2021-06-30,11.91,$1.74,6.85
2021-03-31,11.61,$1.77,6.56
2020-12-31,12.26,$1.72,7.13
2020-09-30,11.88,$1.59,7.47
2020-06-30,15.46,$1.02,15.16
2019-12-31,17.85,$0.97,18.4
2019-09-30,15.42,$0.79,19.52
2019-06-30,18.51,$0.95,19.49
2019-03-31,16.04,$1.17,13.71
2018-12-31,11.09,$0.94,11.79
2020-03-31,10.47,$0.99,10.58
2018-09-30,14.49,$-0.06,0.0
2018-06-30,15.7,$-0.23,0.0
2018-03-31,12.76,$-0.28,0.0
2017-12-31,11.73,$-1.01,0.0
2017-09-30,10.09,$-0.38,0.0
2017-03-31,8.45,$-0.25,0.0
2016-12-31,9.79,$-0.28,0.0
2016-09-30,6.59,$2.28,2.89
2016-06-30,5.78,$1.62,3.57
2016-03-31,4.41,$1.14,3.87
2015-12-31,3.52,$0.73,4.83
2015-09-30,3.65,$-1.73,0.0
2015-06-30,3.2,$-1.77,0.0
2015-03-31,4.88,$-2.15,0.0
2014-12-31,6.76,$-2.65,0.0
2014-09-30,4.93,$-2.73,0.0
2014-06-30,4.54,$-3.32,0.0
2014-03-31,7.24,$-3.10,0.0
2013-12-31,5.53,$-2.46,0.0
2013-09-30,2.67,$-2.93,0.0
2013-06-30,2.82,$-2.13,0.0
2013-03-31,2.3,$-3.18,0.0
2012-12-31,3.41,$-2.17,0.0
2012-09-30,3.65,$-2.88,0.0
2012-06-30,6.49,$-2.24,0.0
2012-03-31,7.82,$0.01,782.4
2011-12-31,7.74,$0.18,42.98
2011-09-30,12.67,$1.97,6.43
2011-06-30,20.53,$2.16,9.5
2011-03-31,22.05,$2.23,9.89
2010-12-31,20.12,$1.94,10.37
2010-09-30,20.84,$2.15,9.69
2010-06-30,22.35,$2.07,10.8
2010-03-31,30.71,$1.34,22.92
2009-12-31,22.63,$0.94,24.07
2009-09-30,23.6,$0.64,36.87
