American States Water PE Ratio Historical Data,American States Water PE Ratio Historical Data,American States Water PE Ratio Historical Data,American States Water PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,85.87,,29.92
2024-06-30,72.16,$2.87,25.14
2024-03-31,71.44,$3.06,23.35
2023-12-31,79.09,$3.37,23.47
2023-09-30,76.97,$3.32,23.18
2023-06-30,84.69,$3.16,26.8
2023-03-31,86.15,$2.66,32.39
2022-12-31,89.32,$2.11,42.33
2022-09-30,74.92,$2.16,34.68
2022-06-30,77.99,$2.23,34.97
2022-03-31,84.78,$2.41,35.18
2021-12-31,98.09,$2.55,38.47
2021-09-30,80.78,$2.54,31.8
2021-06-30,74.85,$2.50,29.94
2021-03-31,70.84,$2.47,28.68
2020-12-31,74.17,$2.33,31.83
2020-09-30,69.61,$2.24,31.08
2020-06-30,72.72,$2.28,31.9
2020-03-31,75.3,$2.31,32.6
2019-12-31,79.55,$2.28,34.89
2019-09-30,82.21,$2.20,37.37
2019-06-30,68.58,$2.06,33.29
2019-03-31,64.74,$1.78,36.37
2018-12-31,60.64,$1.72,35.25
2018-09-30,55.06,$1.70,32.39
2018-06-30,51.24,$1.65,31.06
2018-03-31,47.35,$1.83,25.87
2017-12-31,51.42,$1.88,27.35
2017-09-30,43.53,$1.83,23.79
2017-06-30,41.69,$1.85,22.54
2017-03-31,38.74,$1.68,23.06
2016-12-31,39.63,$1.62,24.46
2016-09-30,34.62,$1.63,21.24
2016-06-30,37.68,$1.60,23.55
2016-03-31,33.66,$1.56,21.57
2015-12-31,35.7,$1.63,21.9
2015-09-30,35.04,$1.86,18.84
2015-06-30,31.46,$1.69,18.62
2014-12-31,31.34,$1.56,20.09
2014-09-30,25.16,$1.51,16.66
2014-06-30,27.3,$1.50,18.2
2014-03-31,26.34,$1.54,17.16
2013-12-31,23.27,$1.60,14.54
2013-09-30,22.16,$1.57,14.16
2013-06-30,21.44,$1.52,14.1
2013-03-31,22.84,$1.49,15.33
2012-12-31,18.91,$1.41,13.41
2012-09-30,17.37,$1.32,13.16
2012-06-30,15.35,$1.25,12.28
2012-03-31,13.91,$1.28,10.87
2011-12-31,13.33,$1.22,10.97
2011-09-30,12.86,$1.28,10.05
2011-06-30,13.03,$1.04,12.53
2011-03-31,13.37,$0.86,15.64
2010-12-31,12.75,$0.88,14.49
2010-09-30,13.15,$0.73,18.01
2010-06-30,12.09,$0.82,14.83
2010-03-31,12.57,$0.90,14.04
2009-12-31,12.72,$0.81,15.7
2009-09-30,12.9,$1.04,12.4
