Minerals Technologies PE Ratio Historical Data,Minerals Technologies PE Ratio Historical Data,Minerals Technologies PE Ratio Historical Data,Minerals Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,80.62,,30.08
2024-06-30,83.05,$2.68,30.99
2024-03-31,75.18,$2.89,26.01
2023-12-31,71.11,$2.59,27.46
2023-09-30,54.51,$1.99,27.39
2023-06-30,57.38,$2.99,19.19
2023-03-31,60.04,$3.53,17.01
2022-12-31,60.29,$3.72,16.21
2022-09-30,49.01,$4.33,11.32
2022-06-30,60.8,$5.14,11.83
2022-03-31,65.52,$5.01,13.08
2021-12-31,72.4,$4.59,15.77
2021-09-30,69.08,$4.19,16.49
2021-06-30,77.76,$3.39,22.94
2020-12-31,61.32,$3.28,18.7
2020-09-30,50.4,$3.20,15.75
2020-06-30,46.24,$3.54,13.06
2020-03-31,35.69,$4.20,8.5
2019-12-31,56.68,$3.83,14.8
2021-03-31,74.41,$4.11,18.1
2019-09-30,52.16,$4.16,12.54
2019-06-30,52.52,$4.26,12.33
2019-03-31,57.65,$4.75,12.14
2018-12-31,50.3,$4.76,10.57
2018-09-30,66.17,$5.66,11.69
2018-06-30,73.7,$5.65,13.04
2018-03-31,65.44,$5.62,11.64
2017-12-31,67.25,$5.47,12.29
2017-09-30,68.96,$4.39,15.71
2017-06-30,71.4,$4.40,16.23
2017-03-31,74.66,$3.79,19.7
2016-12-31,75.25,$3.79,19.85
2016-09-30,68.81,$3.23,21.3
2016-06-30,55.25,$2.88,19.19
2016-03-31,55.25,$3.04,18.18
2015-12-31,44.53,$3.08,14.46
2015-09-30,46.72,$3.21,14.55
2015-06-30,66.02,$3.44,19.19
2015-03-31,70.79,$3.21,22.05
2014-12-31,67.2,$2.85,23.58
2014-09-30,59.68,$2.87,20.79
2014-06-30,63.37,$2.30,27.55
2013-12-31,57.94,$2.30,25.19
2013-09-30,47.58,$2.15,22.13
2013-06-30,39.8,$1.97,20.2
2013-03-31,39.91,$2.01,19.91
2012-12-31,38.34,$2.03,18.89
2014-03-31,62.33,$2.04,30.63
2012-09-30,34.02,$2.14,15.9
2012-06-30,30.56,$2.05,14.91
2012-03-31,31.32,$1.95,16.1
2011-12-31,27.05,$1.87,14.46
2011-09-30,23.55,$1.74,13.54
2011-06-30,31.66,$1.76,18.04
2011-03-31,32.7,$1.81,18.07
2010-12-31,31.19,$1.79,17.43
2010-09-30,28.08,$1.48,19.03
2010-06-30,22.63,$1.26,17.96
2010-03-31,24.66,$-0.34,0.0
2009-12-31,25.88,$-0.64,0.0
