Towne Bank PE Ratio Historical Data,Towne Bank PE Ratio Historical Data,Towne Bank PE Ratio Historical Data,Towne Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.44,,17.54
2024-06-30,27.07,$2.02,13.4
2024-03-31,27.6,$2.01,13.73
2023-12-31,29.01,$2.07,14.01
2023-09-30,22.17,$2.32,9.56
2023-06-30,22.22,$2.41,9.22
2023-03-31,25.22,$2.48,10.17
2022-12-31,28.94,$2.51,11.53
2022-09-30,24.99,$2.56,9.76
2022-03-31,27.42,$2.64,10.39
2021-12-31,28.75,$2.96,9.71
2021-09-30,28.13,$3.10,9.07
2021-06-30,27.33,$3.05,8.96
2021-03-31,27.14,$2.76,9.83
2020-12-31,20.83,$2.29,9.1
2022-06-30,25.08,$1.96,12.79
2020-09-30,14.44,$1.81,7.98
2020-06-30,16.41,$1.85,8.87
2020-03-31,15.6,$1.85,8.43
2019-12-31,23.74,$1.93,12.3
2019-09-30,23.58,$1.94,12.15
2019-06-30,22.98,$1.95,11.79
2019-03-31,20.71,$1.95,10.62
2018-12-31,19.92,$1.87,10.65
2018-09-30,25.48,$1.57,16.23
2018-06-30,26.38,$1.48,17.82
2018-03-31,23.38,$1.42,16.47
2017-12-31,25.02,$1.41,17.74
2017-09-30,27.14,$1.52,17.85
2017-06-30,24.85,$1.47,16.9
2017-03-31,26.02,$1.17,22.24
2016-12-31,26.59,$1.17,22.73
2016-09-30,19.14,$1.10,17.4
2016-06-30,17.15,$1.05,16.34
2016-03-31,15.11,$1.28,11.8
2015-12-31,16.33,$1.22,13.38
2015-09-30,14.66,$1.18,12.43
2015-06-30,12.59,$1.18,10.67
2015-03-31,12.34,$1.16,10.64
2014-12-31,11.53,$1.18,9.77
2014-09-30,10.28,$1.25,8.22
2014-06-30,11.8,$1.19,9.91
2014-03-31,11.57,$1.17,9.89
2013-12-31,11.41,$1.15,9.92
2013-09-30,10.62,$1.05,10.16
2013-06-30,10.76,$0.95,11.33
2013-03-31,10.88,$0.79,13.68
2009-12-31,7.65,$0.64,11.93
2009-09-30,8.29,$0.73,11.39
2009-06-30,9.05,$0.77,11.8
2009-03-31,10.49,$0.78,13.51
2012-03-31,9.3,$0.82,11.4
2011-12-31,8.39,$0.76,11.08
2011-09-30,7.74,$0.72,10.78
2011-06-30,9.05,$0.73,12.42
2011-03-31,10.53,$0.71,14.85
2010-12-31,10.63,$0.71,14.99
2010-09-30,9.96,$0.79,12.53
2010-06-30,9.61,$0.88,10.93
2010-03-31,9.19,$0.98,9.34
