Capital Southwest PE Ratio Historical Data,Capital Southwest PE Ratio Historical Data,Capital Southwest PE Ratio Historical Data,Capital Southwest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.64,,14.82
2024-06-30,25.44,$1.73,14.7
2024-03-31,23.74,$2.05,11.58
2023-12-31,21.96,$2.35,9.35
2023-09-30,20.66,$1.87,11.05
2023-06-30,17.31,$1.64,10.55
2023-03-31,15.14,$1.11,13.64
2022-12-31,14.08,$1.37,10.28
2022-09-30,13.51,$1.82,7.42
2022-06-30,14.3,$1.28,11.17
2022-03-31,17.82,$1.89,9.43
2021-12-31,18.6,$1.54,12.08
2021-09-30,17.84,$1.80,9.91
2021-06-30,16.12,$2.88,5.6
2021-03-31,15.08,$2.66,5.67
2020-12-31,11.8,$0.78,15.13
2020-09-30,9.06,$-0.40,0.0
2020-06-30,8.4,$-1.13,0.0
2020-03-31,6.87,$-1.24,0.0
2019-12-31,12.03,$0.76,15.83
2019-09-30,11.9,$1.53,7.78
2019-06-30,11.18,$1.78,6.28
2019-03-31,10.98,$2.12,5.18
2018-12-31,9.81,$2.44,4.02
2018-09-30,9.47,$2.69,3.52
2018-06-30,8.83,$2.82,3.13
2018-03-31,7.92,$2.44,3.24
2017-12-31,7.57,$1.88,4.03
2017-09-30,7.72,$1.73,4.46
2017-06-30,7.14,$1.64,4.35
2017-03-31,7.41,$1.47,5.04
2016-12-31,6.88,$1.26,5.46
2016-09-30,6.2,$0.70,8.85
2016-06-30,5.72,$-0.31,0.0
2016-03-31,5.78,$-0.34,0.0
2015-12-31,5.77,$1.63,3.54
2015-09-30,6.95,$1.70,4.09
2015-06-30,7.32,$0.31,23.62
2015-03-31,6.79,$1.45,4.69
2014-12-31,5.55,$-0.76,0.0
2014-09-30,5.22,$3.14,1.66
2014-06-30,5.26,$8.08,0.65
2014-03-31,5.05,$9.22,0.55
2013-12-31,5.08,$11.99,0.42
2013-09-30,4.96,$9.88,0.5
2013-06-30,5.0,$10.20,0.49
2013-03-31,4.16,$7.78,0.53
2012-12-31,3.52,$10.22,0.34
2012-09-30,3.94,$11.82,0.33
2012-06-30,3.62,$8.52,0.43
2012-03-31,2.75,$8.52,0.32
2011-12-31,2.37,$3.29,0.72
2011-09-30,2.14,$-0.01,0.0
2011-06-30,2.67,$-0.01,0.0
2011-03-31,2.64,$0.12,21.98
2010-12-31,2.99,$0.16,19.3
2010-09-30,2.61,$0.19,13.9
2010-06-30,2.52,$0.21,12.16
2010-03-31,2.6,$0.11,24.17
2009-12-31,2.25,$0.15,15.02
