Target PE Ratio Historical Data,Target PE Ratio Historical Data,Target PE Ratio Historical Data,Target PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,153.62,,21.61
2024-07-31,149.36,$7.11,21.01
2024-04-30,158.76,$8.91,17.82
2024-01-31,136.16,$8.93,15.25
2023-10-31,107.4,$7.84,13.7
2023-07-31,131.14,$7.28,18.01
2023-04-30,150.55,$5.87,25.65
2023-01-31,163.25,$5.98,27.3
2022-10-31,154.84,$7.30,21.21
2022-07-31,153.1,$8.80,17.4
2022-04-30,213.37,$12.06,17.69
2022-01-31,204.81,$14.07,14.56
2021-10-31,240.41,$13.59,17.69
2021-07-31,240.88,$12.56,19.18
2021-04-30,190.62,$12.26,15.55
2021-01-31,166.03,$8.65,19.19
2020-10-31,138.92,$7.55,18.4
2020-07-31,114.32,$6.93,16.5
2020-04-30,99.13,$5.40,18.36
2020-01-31,99.47,$6.37,15.62
2019-10-31,95.46,$6.26,15.25
2019-07-31,76.56,$6.04,12.68
2019-04-30,67.99,$5.71,11.91
2019-01-31,63.55,$5.51,11.53
2018-10-31,72.14,$6.01,12.0
2018-07-31,69.06,$5.72,12.07
2018-04-30,61.62,$5.45,11.31
2018-01-31,63.31,$5.35,11.83
2017-10-31,49.18,$4.78,10.29
2017-07-31,46.69,$4.96,9.41
2017-04-30,45.52,$4.90,9.29
2017-01-31,52.07,$5.99,8.69
2016-10-31,55.05,$5.41,10.17
2016-07-31,59.86,$5.53,10.82
2016-01-31,56.66,$5.35,10.59
2015-10-31,59.92,$-1.07,0.0
2015-07-31,63.1,$-0.89,0.0
2015-04-30,60.37,$-1.52,0.0
2015-01-31,55.99,$-2.13,0.0
2016-04-30,62.7,$2.63,23.84
2014-10-31,46.66,$2.39,19.52
2014-07-31,44.58,$2.38,18.73
2014-04-30,45.86,$2.96,15.49
2014-01-31,41.75,$3.07,13.6
2013-10-31,47.45,$3.73,12.72
2013-07-31,51.85,$4.15,12.49
2013-04-30,51.08,$4.26,11.99
2013-01-31,43.48,$4.53,9.6
2012-10-31,45.62,$4.51,10.12
2012-07-31,43.16,$4.37,9.88
2012-04-30,41.0,$4.34,9.45
2012-01-31,35.75,$4.29,8.33
2011-10-31,38.31,$4.29,8.93
2011-07-31,35.81,$4.21,8.51
2011-04-30,33.98,$4.10,8.29
2011-01-31,37.77,$4.01,9.42
2010-10-31,35.62,$3.80,9.37
2010-07-31,35.02,$3.64,9.62
2010-04-30,38.69,$3.51,11.02
2010-01-31,34.76,$3.42,10.16
2009-10-31,32.72,$2.87,11.4
