Navios Maritime Partners LP PE Ratio Historical Data,Navios Maritime Partners LP PE Ratio Historical Data,Navios Maritime Partners LP PE Ratio Historical Data,Navios Maritime Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,57.59,,4.47
2024-06-30,50.97,$12.89,3.95
2024-03-31,42.53,$13.24,3.21
2023-12-31,27.85,$14.08,1.98
2023-09-30,22.99,$13.62,1.69
2023-06-30,21.67,$19.06,1.14
2023-03-31,23.87,$19.24,1.24
2022-12-31,25.64,$18.80,1.36
2022-09-30,24.18,$18.85,1.28
2022-06-30,22.64,$16.45,1.38
2022-03-31,34.59,$16.93,2.04
2021-12-31,24.62,$25.84,0.95
2021-09-30,31.69,$17.56,1.8
2021-06-30,28.89,$12.24,2.36
2021-03-31,22.99,$6.61,3.48
2020-12-31,10.9,$-6.05,0.0
2020-09-30,5.81,$-7.38,0.0
2020-06-30,9.3,$-6.47,0.0
2020-03-31,4.9,$-5.74,0.0
2019-12-31,16.68,$-5.67,0.0
2019-09-30,15.65,$0.05,310.44
2019-06-30,11.68,$-0.59,0.0
2019-03-31,11.56,$-2.70,0.0
2018-12-31,10.57,$-1.35,0.0
2018-09-30,21.49,$-3.60,0.0
2018-06-30,22.99,$-3.60,0.0
2018-03-31,21.67,$-0.45,0.0
2017-12-31,28.41,$-1.80,0.0
2017-09-30,24.68,$0.15,164.61
2017-06-30,19.14,$-6.75,0.0
2017-03-31,24.92,$-10.20,0.0
2016-12-31,16.97,$-9.30,0.0
2016-09-30,16.73,$-7.65,0.0
2016-06-30,15.53,$0.30,51.79
2016-03-31,14.93,$5.25,2.84
2015-12-31,36.35,$7.20,5.05
2015-09-30,84.25,$8.25,10.22
2015-06-30,118.34,$8.70,13.61
2015-03-31,118.55,$12.29,9.64
2014-12-31,104.4,$13.94,7.49
2014-09-30,177.46,$13.49,13.15
2014-06-30,189.04,$13.94,13.56
2014-03-31,185.04,$12.74,14.52
2013-12-31,177.18,$12.74,13.9
2013-09-30,132.16,$20.54,6.43
2013-06-30,126.64,$23.09,5.48
2013-03-31,123.18,$23.09,5.33
2012-12-31,101.19,$23.99,4.22
2012-09-30,118.67,$19.49,6.09
2012-06-30,105.57,$19.34,5.46
2012-03-31,125.73,$19.34,6.5
2011-12-31,108.21,$20.09,5.39
2011-09-30,94.97,$20.54,4.62
2011-06-30,127.44,$20.99,6.07
2011-03-31,138.06,$22.19,6.22
2010-12-31,129.19,$22.79,5.67
2010-09-30,120.76,$22.94,5.26
2010-06-30,100.08,$23.84,4.2
2010-03-31,108.67,$21.59,5.03
2009-12-31,89.06,$22.94,3.88
