Aaron's Holdings PE Ratio Historical Data,Aaron's Holdings PE Ratio Historical Data,Aaron's Holdings PE Ratio Historical Data,Aaron's Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.49,,20.37
2024-06-30,34.68,$2.43,14.27
2024-03-31,34.44,$2.45,14.06
2023-12-31,30.91,$2.96,10.44
2023-09-30,33.21,$3.28,10.13
2023-06-30,32.12,$2.84,11.31
2023-03-31,23.79,$2.42,9.83
2022-12-31,16.89,$1.91,8.84
2022-09-30,14.98,$1.77,8.46
2022-06-30,16.5,$2.31,7.14
2022-03-31,28.77,$2.54,11.33
2021-12-31,45.11,$3.07,14.69
2021-09-30,42.01,$3.64,11.54
