Carter's PE Ratio Historical Data,Carter's PE Ratio Historical Data,Carter's PE Ratio Historical Data,Carter's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.94,,10.36
2024-06-30,61.26,$6.46,9.48
2024-03-31,82.71,$6.34,13.05
2023-12-31,72.45,$6.27,11.55
2023-09-30,66.16,$5.48,12.07
2023-06-30,68.72,$5.37,12.8
2023-03-31,67.27,$5.66,11.89
2022-12-31,69.08,$6.37,10.84
2022-09-30,60.05,$6.57,9.14
2022-06-30,63.94,$6.83,9.36
2022-03-31,82.65,$7.52,10.99
2021-12-31,90.2,$7.82,11.53
2021-09-30,86.14,$7.77,11.09
2021-06-30,91.05,$7.69,11.84
2021-03-31,78.17,$6.26,12.49
2020-12-31,82.69,$2.48,33.34
2020-09-30,76.11,$3.04,25.04
2020-06-30,70.94,$2.53,28.04
2020-03-31,57.78,$3.31,17.46
2019-12-31,95.46,$5.88,16.23
2019-09-30,79.24,$5.89,13.45
2019-06-30,84.28,$6.08,13.86
2019-03-31,86.59,$5.90,14.68
2018-12-31,69.75,$6.04,11.55
2018-09-30,83.85,$6.05,13.86
2018-06-30,91.79,$6.23,14.73
2018-03-31,87.8,$6.22,14.12
2017-12-31,98.71,$6.28,15.72
2017-09-30,82.67,$5.20,15.9
2017-06-30,74.15,$5.09,14.57
2017-03-31,74.53,$5.02,14.85
2016-12-31,71.4,$5.11,13.97
2016-09-30,71.41,$4.74,15.07
2016-06-30,87.38,$4.65,18.79
2016-03-31,86.2,$4.62,18.66
2015-12-31,72.59,$4.87,14.91
2015-09-30,73.71,$4.71,15.65
2015-06-30,86.26,$3.68,23.44
2014-12-31,70.52,$3.63,19.43
2014-09-30,62.47,$3.12,20.02
2014-06-30,55.42,$2.83,19.58
2014-03-31,62.27,$3.32,18.76
2013-12-31,57.43,$3.02,19.02
2015-03-31,74.87,$2.93,25.55
2013-09-30,60.57,$2.80,21.63
2013-06-30,58.98,$2.82,20.92
2013-03-31,45.5,$2.84,16.02
2012-12-31,44.22,$2.69,16.44
2012-09-30,42.78,$2.47,17.32
2012-06-30,41.79,$2.06,20.29
2012-03-31,39.54,$1.93,20.49
2011-12-31,31.63,$1.94,16.3
2011-09-30,24.27,$1.95,12.44
2011-06-30,24.44,$2.20,11.11
2011-03-31,22.75,$2.30,9.89
2010-12-31,23.45,$2.46,9.53
2010-09-30,20.92,$2.42,8.64
2010-06-30,20.86,$2.43,8.58
2010-03-31,23.96,$2.30,10.42
2009-12-31,20.86,$1.87,11.15
