Rambus PE Ratio Historical Data,Rambus PE Ratio Historical Data,Rambus PE Ratio Historical Data,Rambus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.7,,12.94
2024-06-30,58.76,$3.30,17.81
2023-12-31,68.25,$3.00,22.75
2023-09-30,55.79,$2.61,21.38
2023-06-30,64.17,$1.98,32.41
2023-03-31,51.26,$0.48,106.79
2022-12-31,35.82,$0.76,47.13
2024-03-31,61.81,$0.02,3090.5
2022-09-30,25.42,$-0.23,0.0
2022-06-30,21.49,$-0.21,0.0
2022-03-31,31.89,$-0.42,0.0
2021-12-31,29.39,$0.16,183.69
2021-09-30,22.2,0,0.0
2021-06-30,23.71,$-0.14,0.0
2021-03-31,19.44,$-0.33,0.0
2020-12-31,17.46,$-0.38,0.0
2020-09-30,13.69,$-0.36,0.0
2020-06-30,15.2,$-0.41,0.0
2020-03-31,11.1,$-0.65,0.0
2019-12-31,13.78,$-0.82,0.0
2019-09-30,13.13,$-0.50,0.0
2019-06-30,12.04,$-0.99,0.0
2019-03-31,10.45,$-0.80,0.0
2018-12-31,7.67,$-0.92,0.0
2018-09-30,10.91,$-1.44,0.0
2018-06-30,12.54,$-0.72,0.0
2018-03-31,13.43,$-0.56,0.0
2017-12-31,14.22,$-0.17,0.0
2017-09-30,13.35,$0.09,148.33
2017-06-30,11.43,$0.06,190.5
2017-03-31,13.14,$0.07,187.71
2016-12-31,13.77,$0.06,229.5
2016-09-30,12.5,$0.20,62.5
2016-06-30,12.08,$1.68,7.19
2016-03-31,13.75,$1.71,8.04
2015-12-31,11.59,$1.77,6.55
2015-09-30,11.81,$1.73,6.82
2015-06-30,14.49,$0.26,55.73
2015-03-31,12.58,$0.24,52.4
2014-12-31,11.09,$0.23,48.22
2014-09-30,12.48,$0.07,178.29
2014-06-30,14.3,$-0.03,0.0
2014-03-31,10.75,$-0.13,0.0
2013-12-31,9.47,$-0.29,0.0
2013-09-30,9.4,$-0.34,0.0
2013-06-30,8.59,$-0.81,0.0
2013-03-31,5.61,$-1.04,0.0
2012-12-31,4.87,$-1.20,0.0
2012-09-30,5.54,$-1.32,0.0
2012-06-30,5.74,$-0.80,0.0
2012-03-31,6.45,$-0.61,0.0
2011-12-31,7.55,$-0.40,0.0
2011-09-30,14.0,$0.15,93.33
2011-06-30,14.68,$-0.03,0.0
2011-03-31,19.75,$-0.04,0.0
2010-12-31,20.48,$1.28,16.0
2010-09-30,20.84,$0.77,27.06
2010-06-30,17.52,$0.69,25.39
2010-03-31,21.85,$0.57,38.33
2009-12-31,24.4,$-0.88,0.0
