Aspen Technology PE Ratio Historical Data,Aspen Technology PE Ratio Historical Data,Aspen Technology PE Ratio Historical Data,Aspen Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,236.92,,0.0
2024-06-30,198.63,$-0.16,0.0
2024-03-31,213.28,$-0.44,0.0
2023-12-31,220.15,$-1.35,0.0
2023-09-30,204.26,$-2.03,0.0
2023-06-30,167.61,$-1.66,0.0
2023-03-31,228.87,$-0.95,0.0
2022-12-31,205.4,$1.06,193.77
2022-09-30,238.2,$3.00,79.4
2022-06-30,183.68,$4.56,40.28
2022-03-31,165.37,$4.34,38.1
2021-12-31,152.2,$5.11,29.78
2021-06-30,137.54,$4.19,32.83
2021-03-31,144.33,$4.23,34.12
2020-12-31,130.25,$3.96,32.89
2020-09-30,126.59,$2.63,48.13
2020-06-30,103.61,$3.30,31.4
2020-03-31,95.07,$3.36,28.29
2019-12-31,120.93,$3.60,33.59
2019-09-30,123.08,$3.87,31.8
2019-06-30,124.28,$3.73,33.32
2019-03-31,104.26,$2.77,37.64
2018-12-31,82.18,$2.41,34.1
2018-09-30,113.91,$2.10,54.24
2018-06-30,92.74,$2.04,45.46
2018-03-31,78.89,$2.24,35.22
2017-12-31,66.2,$2.19,30.23
2017-09-30,62.81,$2.15,29.21
2017-06-30,55.26,$2.12,26.07
2017-03-31,58.92,$1.80,32.73
2016-12-31,54.68,$1.73,31.61
2016-09-30,46.79,$1.69,27.69
2016-06-30,40.24,$1.69,23.81
2016-03-31,36.13,$1.64,22.03
2015-12-31,37.76,$1.56,24.21
2015-09-30,37.91,$1.46,25.97
2015-06-30,45.55,$1.34,33.99
2015-03-31,38.49,$1.27,30.31
2014-12-31,35.02,$1.17,29.93
2014-09-30,37.72,$0.99,38.1
2014-06-30,46.4,$0.88,52.73
2014-03-31,42.36,$0.70,60.51
2013-09-30,34.55,$0.58,59.57
2013-06-30,28.79,$0.47,61.26
2013-03-31,32.29,$0.20,161.45
2012-12-31,27.64,$0.08,345.5
2012-09-30,25.84,$0.02,1292.0
2012-06-30,23.15,$-0.16,0.0
2012-03-31,20.53,$0.33,62.21
2011-12-31,17.35,$0.28,61.96
2011-09-30,15.27,$0.13,117.46
2011-06-30,17.18,$0.51,33.69
2011-03-31,14.99,$-0.29,0.0
2010-12-31,12.7,$-0.47,0.0
2013-12-31,41.8,$-0.70,0.0
2010-06-30,10.89,$-1.18,0.0
2010-03-31,10.25,$-0.70,0.0
2009-12-31,9.8,$-0.63,0.0
2009-09-30,10.2,$-0.20,0.0
2009-06-30,8.53,$0.61,13.98
