Jazz Pharmaceuticals PE Ratio Historical Data,Jazz Pharmaceuticals PE Ratio Historical Data,Jazz Pharmaceuticals PE Ratio Historical Data,Jazz Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,114.63,,19.7
2024-06-30,106.73,$5.82,18.34
2024-03-31,120.42,$4.85,24.83
2023-12-31,123.0,$6.12,20.1
2023-09-30,129.44,$0.88,147.09
2023-06-30,123.97,$-1.57,0.0
2023-03-31,146.33,$-2.54,0.0
2022-12-31,159.31,$-3.55,0.0
2022-09-30,133.29,$-0.30,0.0
2022-06-30,156.01,$-0.85,0.0
2022-03-31,155.67,$-7.51,0.0
2021-12-31,127.4,$-5.45,0.0
2021-09-30,130.21,$-2.55,0.0
2021-06-30,177.64,$0.95,186.99
2021-03-31,164.37,$9.12,18.02
2020-12-31,165.05,$4.21,39.2
2020-09-30,142.59,$3.17,44.98
2020-06-30,110.34,$2.31,47.77
2020-03-31,99.74,$4.81,20.74
2019-12-31,149.28,$9.10,16.4
2019-09-30,128.14,$10.45,12.26
2019-06-30,142.56,$11.08,12.87
2019-03-31,142.95,$8.02,17.82
2018-12-31,123.96,$7.30,16.98
2018-09-30,168.13,$8.45,19.9
2018-06-30,172.3,$7.07,24.37
2018-03-31,150.99,$7.29,20.71
2017-12-31,134.65,$7.95,16.94
2017-09-30,146.25,$6.07,24.09
2017-06-30,155.5,$6.45,24.11
2017-03-31,145.13,$6.53,22.23
2016-12-31,109.03,$6.31,17.28
2016-09-30,121.48,$5.72,21.24
2016-06-30,141.31,$5.70,24.79
2016-03-31,130.55,$5.30,24.63
2015-12-31,140.56,$5.23,26.88
2015-09-30,132.81,$5.21,25.49
2015-06-30,176.07,$4.23,41.62
2015-03-31,172.79,$3.53,48.95
2014-12-31,163.73,$0.83,197.27
2014-09-30,160.56,$0.43,373.4
2014-06-30,147.01,$1.25,117.61
2014-03-31,138.68,$1.24,111.84
2013-12-31,126.56,$3.53,35.85
2013-09-30,91.97,$5.91,15.56
2013-06-30,68.73,$5.23,13.14
2013-03-31,55.91,$4.99,11.2
2012-12-31,53.25,$4.76,11.19
2012-09-30,57.0,$2.27,25.11
2012-06-30,45.01,$2.41,18.68
2012-03-31,48.47,$2.67,18.15
2011-12-31,38.63,$2.67,14.47
2011-09-30,41.5,$2.44,17.01
2011-06-30,33.35,$2.07,16.11
2011-03-31,31.85,$1.18,26.99
2010-12-31,19.68,$0.87,22.62
2010-09-30,10.73,$0.26,41.27
2010-06-30,7.83,$0.01,783.0
2009-12-31,7.88,$-0.26,0.0
2009-09-30,8.02,$-0.39,0.0
