Orion S.A PE Ratio Historical Data,Orion S.A PE Ratio Historical Data,Orion S.A PE Ratio Historical Data,Orion S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.69,,12.82
2024-06-30,21.92,$1.38,15.88
2023-12-31,27.65,$1.73,15.98
2023-09-30,21.21,$1.85,11.46
2023-06-30,21.13,$1.86,11.36
2023-03-31,25.95,$1.87,13.88
2022-12-31,17.7,$1.66,10.66
2024-03-31,23.48,$1.99,11.8
2022-09-30,13.25,$1.55,8.55
2022-06-30,15.4,$1.38,11.16
2022-03-31,15.81,$2.36,6.7
2021-12-31,18.13,$2.22,8.17
2021-09-30,18.0,$2.35,7.66
2021-06-30,18.76,$2.15,8.72
2021-03-31,19.48,$0.39,49.94
2020-12-31,16.93,$0.29,58.37
2020-09-30,12.36,$0.46,26.86
2020-06-30,10.46,$0.70,14.94
2020-03-31,7.37,$1.39,5.3
2019-12-31,18.73,$1.41,13.28
2019-09-30,16.05,$1.43,11.23
2019-06-30,20.32,$1.44,14.11
2019-03-31,17.84,$1.91,9.34
2018-12-31,23.53,$2.00,11.77
2018-09-30,29.64,$2.08,14.25
2018-06-30,28.31,$1.93,14.67
2018-03-31,24.72,$1.37,18.04
2017-12-31,23.18,$1.25,18.55
2017-09-30,20.17,$1.17,17.24
2017-06-30,17.92,$0.85,21.08
2017-03-31,18.22,$0.86,21.18
2016-12-31,16.75,$0.82,20.43
2016-09-30,16.65,$0.52,32.03
2016-06-30,14.12,$0.81,17.43
2016-03-31,12.55,$0.76,16.51
2015-12-31,11.2,$0.80,14.0
2015-09-30,12.66,$0.61,20.75
2015-06-30,15.97,$-0.46,0.0
