Patterson-UTI Energy PE Ratio Historical Data,Patterson-UTI Energy PE Ratio Historical Data,Patterson-UTI Energy PE Ratio Historical Data,Patterson-UTI Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.97,,25.71
2024-06-30,10.27,$0.31,33.12
2024-03-31,11.74,$0.68,17.27
2023-12-31,10.55,$1.01,10.44
2023-09-30,13.42,$1.32,10.17
2023-06-30,11.55,$1.60,7.22
2023-03-31,11.19,$1.30,8.61
2022-12-31,16.02,$0.71,22.57
2022-09-30,11.06,$-1.43,0.0
2022-06-30,14.89,$-2.15,0.0
2022-03-31,14.59,$-2.80,0.0
2021-12-31,7.94,$-3.24,0.0
2021-09-30,8.44,$-2.13,0.0
2021-06-30,9.29,$-2.29,0.0
2021-03-31,6.65,$-2.55,0.0
2020-12-31,4.9,$-4.26,0.0
2020-09-30,2.64,$-4.13,0.0
2020-06-30,3.2,$-4.84,0.0
2020-03-31,2.16,$-4.27,0.0
2019-12-31,9.56,$-2.13,0.0
2019-09-30,7.75,$-2.62,0.0
2019-06-30,10.39,$-1.65,0.0
2019-03-31,12.6,$-1.46,0.0
2018-12-31,9.28,$-1.48,0.0
2018-09-30,15.29,$0.33,46.33
2018-06-30,16.04,$0.51,31.46
2018-03-31,15.57,$0.10,155.75
2017-12-31,20.45,$-0.14,0.0
2017-09-30,18.59,$-1.55,0.0
2017-06-30,17.9,$-1.97,0.0
2017-03-31,21.5,$-2.09,0.0
2016-12-31,23.83,$-2.17,0.0
2016-09-30,19.79,$-2.04,0.0
2016-06-30,18.84,$-3.00,0.0
2016-03-31,15.56,$-2.55,0.0
2015-12-31,13.24,$-2.01,0.0
2015-09-30,11.46,$-1.22,0.0
2015-06-30,16.29,$0.43,37.89
2015-03-31,16.18,$0.93,17.4
2014-12-31,14.22,$1.11,12.81
2014-09-30,27.7,$0.83,33.37
2014-06-30,29.66,$1.23,24.11
2014-03-31,26.81,$1.14,23.52
2013-12-31,21.36,$1.28,16.68
2013-09-30,17.99,$1.57,11.46
2013-06-30,16.25,$1.39,11.69
2013-03-31,19.97,$1.71,11.68
2012-12-31,15.57,$1.95,7.99
2012-09-30,13.19,$2.11,6.25
2012-06-30,12.1,$2.31,5.24
2012-03-31,14.31,$2.23,6.42
2011-12-31,16.5,$2.07,7.97
2011-09-30,14.28,$1.86,7.68
2011-06-30,25.98,$1.52,17.09
2011-03-31,24.11,$1.19,20.26
2010-12-31,17.65,$0.76,23.22
2010-09-30,13.95,$0.29,48.12
2010-06-30,10.48,$-0.02,0.0
2010-03-31,11.34,$-0.33,0.0
2009-12-31,12.42,$-0.25,0.0
