SpringWorks Therapeutics PE Ratio Historical Data,SpringWorks Therapeutics PE Ratio Historical Data,SpringWorks Therapeutics PE Ratio Historical Data,SpringWorks Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.78,,0.0
2024-06-30,37.67,$-4.43,0.0
2024-03-31,49.22,$-5.14,0.0
2023-12-31,36.5,$-5.14,0.0
2023-09-30,23.12,$-4.89,0.0
2023-06-30,26.22,$-4.99,0.0
2023-03-31,25.74,$-5.15,0.0
2022-12-31,26.01,$-5.23,0.0
2022-09-30,28.53,$-5.19,0.0
2022-06-30,24.62,$-4.66,0.0
2022-03-31,56.44,$-4.22,0.0
2021-12-31,61.98,$-3.58,0.0
2021-09-30,63.44,$-2.19,0.0
2021-06-30,82.41,$-1.86,0.0
2021-03-31,73.57,$-1.26,0.0
2020-12-31,72.52,$-1.03,0.0
2020-09-30,47.67,$-3.04,0.0
2020-03-31,27.0,$-3.00,0.0
