RPC PE Ratio Historical Data,RPC PE Ratio Historical Data,RPC PE Ratio Historical Data,RPC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.58,,11.96
2024-06-30,6.21,$0.55,11.29
2024-03-31,7.65,$0.70,10.92
2023-12-31,7.15,$0.90,7.95
2023-09-30,8.73,$1.11,7.87
2023-06-30,6.95,$1.35,5.15
2023-03-31,7.43,$1.27,5.85
2022-12-31,8.56,$1.01,8.47
2022-09-30,6.66,$0.67,9.94
2022-06-30,6.62,$0.37,17.89
2022-03-31,10.22,$0.15,68.15
2021-12-31,4.35,$0.03,144.98
2021-09-30,4.66,$-0.08,0.0
2021-06-30,4.74,$-0.18,0.0
2021-03-31,5.17,$-0.30,0.0
2020-12-31,3.02,$-1.01,0.0
2020-09-30,2.53,$-1.07,0.0
2020-06-30,2.95,$-1.32,0.0
2020-03-31,1.97,$-1.17,0.0
2019-12-31,5.02,$-0.41,0.0
2019-09-30,5.37,$-0.24,0.0
2019-06-30,6.91,$0.32,21.59
2019-03-31,10.88,$0.57,19.08
2018-12-31,9.32,$0.81,11.5
2018-09-30,14.44,$1.02,14.16
2018-06-30,13.5,$1.05,12.86
2018-03-31,16.62,$0.97,17.13
2017-12-31,23.41,$0.75,31.21
2017-09-30,22.6,$0.38,59.48
2017-06-30,18.37,$-0.06,0.0
2017-03-31,16.65,$-0.49,0.0
2016-12-31,18.01,$-0.66,0.0
2016-09-30,15.23,$-0.74,0.0
2016-06-30,14.08,$-0.72,0.0
2016-03-31,12.85,$-0.65,0.0
2015-12-31,10.83,$-0.46,0.0
2015-09-30,8.02,$0.08,100.28
2015-06-30,12.54,$0.54,23.22
2015-03-31,11.57,$0.99,11.69
2014-12-31,11.69,$1.13,10.34
2014-09-30,19.55,$0.94,20.8
2014-06-30,20.81,$0.89,23.38
2014-03-31,18.01,$0.79,22.79
2013-12-31,15.64,$0.77,20.31
2013-09-30,13.48,$0.86,15.68
2013-06-30,11.95,$0.91,13.14
2013-03-31,13.03,$1.05,12.41
2012-12-31,10.45,$1.26,8.29
2012-09-30,9.9,$1.34,7.38
2012-06-30,9.84,$1.42,6.93
2012-03-31,8.71,$1.42,6.12
2011-12-31,9.91,$1.35,7.32
2011-09-30,8.82,$1.27,6.97
2011-06-30,13.21,$1.03,12.84
2011-03-31,13.59,$0.84,16.22
2010-12-31,9.69,$0.60,16.15
2010-09-30,7.52,$0.32,23.19
2010-06-30,4.84,$0.13,36.28
2010-03-31,3.93,$-0.06,0.0
2009-12-31,3.66,$-0.10,0.0
