LiveWire PE Ratio Historical Data,LiveWire PE Ratio Historical Data,LiveWire PE Ratio Historical Data,LiveWire PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.45,,0.0
2024-06-30,7.66,$-0.47,0.0
2024-03-31,7.23,$-0.55,0.0
2023-12-31,11.31,$-0.53,0.0
2023-09-30,6.93,$-0.37,0.0
2023-06-30,11.81,$-0.29,0.0
2023-03-31,6.45,$-0.09,0.0
2022-12-31,4.85,$0.01,485.0
2022-09-30,7.18,$0.01,718.0
2022-06-30,9.92,0,0.0
2022-03-31,9.9,0,0.0
2021-12-31,9.99,0,0.0
2021-09-30,9.78,0,0.0
