CBIZ PE Ratio Historical Data,CBIZ PE Ratio Historical Data,CBIZ PE Ratio Historical Data,CBIZ PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.35,,28.91
2024-06-30,74.1,$2.33,31.8
2024-03-31,78.5,$2.47,31.78
2023-12-31,62.59,$2.38,26.3
2023-09-30,51.9,$2.41,21.54
2023-06-30,53.28,$2.34,22.77
2023-03-31,49.49,$2.91,17.01
2022-12-31,46.85,$1.28,36.6
2022-06-30,39.96,$1.92,20.81
2022-03-31,41.97,$1.48,28.36
2021-12-31,39.12,$1.30,30.09
2021-09-30,32.34,$1.49,21.7
2021-06-30,32.77,$1.44,22.76
2021-03-31,32.66,$1.67,19.56
2020-12-31,26.61,$1.41,18.87
2020-09-30,22.87,$1.39,16.45
2020-06-30,23.97,$1.35,17.76
2020-03-31,20.92,$1.26,16.6
2019-12-31,26.96,$1.27,21.23
2019-09-30,23.5,$1.27,18.5
2019-06-30,19.59,$1.19,16.46
2019-03-31,20.24,$1.12,18.07
2018-12-31,19.7,$1.09,18.07
2018-09-30,23.7,$1.64,14.45
2018-06-30,23.0,$1.48,15.54
2018-03-31,18.25,$1.43,12.76
2022-09-30,42.78,$0.98,43.65
2017-12-31,15.45,$0.90,17.17
2017-09-30,16.25,$0.81,20.06
2017-06-30,15.0,$0.83,18.07
2017-03-31,13.55,$0.80,16.94
2016-12-31,13.7,$0.76,18.03
2016-09-30,11.19,$0.73,15.33
2016-06-30,10.41,$0.72,14.46
2016-03-31,10.09,$0.69,14.62
2015-12-31,9.86,$0.25,39.44
2015-09-30,9.82,$0.44,22.32
2015-06-30,9.64,$0.37,26.05
2014-12-31,8.56,$0.57,15.02
2014-09-30,7.87,$0.52,15.13
2014-06-30,9.03,$0.74,12.2
2014-03-31,9.16,$1.89,4.85
2013-12-31,9.12,$1.74,5.24
2015-03-31,9.33,$2.19,4.26
2013-09-30,7.44,$1.84,4.04
2013-06-30,6.71,$0.68,9.87
2013-03-31,6.38,$0.62,10.29
2012-12-31,5.91,$0.63,9.38
2012-09-30,6.02,$0.59,10.2
2012-06-30,5.94,$0.57,10.42
2012-03-31,6.32,$0.58,10.9
2011-12-31,6.11,$0.56,10.91
2011-09-30,6.59,$0.55,11.98
2011-06-30,7.36,$0.54,13.63
2011-03-31,7.21,$0.50,14.42
2010-12-31,6.24,$0.40,15.6
2010-09-30,5.93,$0.45,13.18
2010-06-30,6.36,$0.45,14.13
2010-03-31,6.57,$0.47,13.98
2009-12-31,7.7,$0.50,15.4
