Progress Software PE Ratio Historical Data,Progress Software PE Ratio Historical Data,Progress Software PE Ratio Historical Data,Progress Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.33,,35.47
2024-08-31,58.15,$1.87,31.1
2024-05-31,50.32,$1.64,30.68
2024-02-29,53.02,$1.54,34.43
2023-11-30,53.34,$1.56,34.19
2023-08-31,60.05,$1.76,34.12
2023-05-31,59.06,$1.84,32.1
2023-02-28,56.37,$2.23,25.28
2022-11-30,52.17,$2.16,24.15
2022-08-31,46.94,$1.95,24.07
2022-05-31,46.94,$2.15,21.83
2022-02-28,42.68,$1.79,23.84
2021-11-30,46.72,$1.75,26.7
2021-08-31,44.74,$1.81,24.72
2021-05-31,42.67,$1.64,26.02
2021-02-28,40.56,$1.71,23.72
2020-11-30,38.08,$1.75,21.76
2020-08-31,35.82,$1.25,28.66
2020-05-31,38.03,$1.02,37.29
2020-02-29,34.96,$0.83,42.12
2019-11-30,39.21,$0.78,50.27
2019-08-31,35.13,$1.26,27.88
2019-05-31,37.93,$1.29,29.4
2018-11-30,32.3,$1.38,23.41
2018-08-31,37.43,$1.31,28.58
2018-05-31,34.53,$1.15,30.02
2018-02-28,42.56,$1.05,40.54
2017-11-30,37.43,$0.99,37.81
2019-02-28,33.93,$0.64,53.02
2017-08-31,30.3,$-1.09,0.0
2017-05-31,26.25,$-1.17,0.0
2017-02-28,25.67,$-1.24,0.0
2016-11-30,26.36,$-1.17,0.0
2016-08-31,25.75,$0.16,160.93
2016-05-31,23.37,$-0.07,0.0
2016-02-29,22.38,$-0.10,0.0
2015-11-30,21.29,$-0.18,0.0
2015-08-31,24.04,$0.29,82.91
2015-05-31,23.37,$0.59,39.61
2015-02-28,24.27,$0.73,33.24
2014-11-30,22.89,$0.96,23.84
2014-08-31,20.56,$0.97,21.19
2014-05-31,19.28,$1.21,15.93
2014-02-28,22.14,$1.03,21.49
2013-11-30,23.38,$1.35,17.32
2013-08-31,21.71,$1.63,13.32
2013-05-31,20.87,$1.26,16.56
2013-02-28,19.99,$1.16,17.23
2012-11-30,17.85,$0.81,22.04
2012-08-31,17.07,$0.37,46.13
2012-05-31,17.06,$0.54,31.59
2011-11-30,18.08,$0.86,21.02
2011-08-31,18.48,$0.99,18.6
2011-05-31,24.03,$0.98,24.43
2011-02-28,26.06,$0.86,30.19
2010-11-30,22.79,$0.86,26.5
2012-02-29,20.61,$0.53,38.64
2010-08-31,15.8,$0.68,23.24
2010-05-31,18.9,$0.63,30.15
2010-02-28,16.58,$0.45,36.57
2009-11-30,14.25,$0.53,27.05
