BWX Technologies PE Ratio Historical Data,BWX Technologies PE Ratio Historical Data,BWX Technologies PE Ratio Historical Data,BWX Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,125.1,,42.84
2024-06-30,94.77,$2.92,32.45
2024-03-31,102.09,$2.77,36.86
2023-12-31,76.16,$2.69,28.31
2023-09-30,74.2,$2.44,30.41
2023-06-30,70.6,$2.45,28.82
2023-03-31,61.98,$2.63,23.56
2022-12-31,56.89,$2.60,21.88
2022-09-30,49.16,$3.39,14.5
2022-06-30,53.55,$3.35,15.98
2022-03-31,52.12,$3.15,16.55
2021-12-31,46.14,$3.24,14.24
2021-09-30,51.7,$2.67,19.36
2021-06-30,55.57,$2.80,19.85
2021-03-31,62.84,$2.85,22.05
2020-12-31,57.24,$2.91,19.67
2020-09-30,53.29,$2.86,18.63
2020-06-30,53.43,$2.88,18.55
2020-03-31,45.79,$2.83,16.18
2019-12-31,58.15,$2.55,22.8
2019-09-30,53.44,$2.13,25.09
2019-06-30,48.51,$2.13,22.78
2019-03-31,46.01,$2.11,21.8
2018-12-31,35.35,$2.26,15.64
2018-09-30,57.62,$1.88,30.65
2018-06-30,57.27,$1.56,36.71
2018-03-31,58.25,$1.57,37.1
2017-12-31,55.33,$1.46,37.89
2017-09-30,51.14,$1.96,26.09
2017-06-30,44.42,$1.89,23.5
2017-03-31,43.27,$1.83,23.65
2016-12-31,36.02,$1.74,20.7
2016-09-30,34.74,$1.40,24.81
2016-06-30,32.31,$1.97,16.4
2016-03-31,30.23,$1.26,23.99
2015-12-31,28.54,$1.22,23.39
2015-09-30,23.63,$0.25,94.53
2015-06-30,21.76,$-0.14,0.0
2015-03-31,21.23,$0.26,81.64
2014-12-31,19.98,$0.25,79.92
2014-09-30,18.2,$2.70,6.74
2014-06-30,21.26,$2.67,7.96
2014-03-31,21.68,$3.08,7.04
2013-12-31,22.26,$3.08,7.23
2013-09-30,21.89,$1.93,11.34
2013-06-30,19.44,$1.73,11.24
2013-03-31,18.34,$1.62,11.32
2012-12-31,16.86,$1.60,10.54
2012-09-30,16.34,$1.81,9.03
2012-06-30,15.71,$1.86,8.45
2012-03-31,16.52,$1.71,9.66
2011-12-31,15.48,$1.43,10.83
2011-09-30,12.54,$1.34,9.36
2011-06-30,17.77,$1.26,14.1
