Dr Reddy's Laboratories PE Ratio Historical Data,Dr Reddy's Laboratories PE Ratio Historical Data,Dr Reddy's Laboratories PE Ratio Historical Data,Dr Reddy's Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,79.8,,19.95
2024-06-30,75.74,$4.00,18.93
2024-03-31,72.92,$4.03,18.09
2023-12-31,69.17,$3.79,18.25
2023-09-30,66.47,$3.71,17.92
2023-06-30,62.3,$3.46,18.01
2023-03-31,56.2,$3.33,16.88
2022-12-31,51.09,$2.70,18.92
2022-09-30,51.67,$2.36,21.89
2022-06-30,54.28,$2.34,23.2
2022-03-31,54.61,$1.90,28.74
2021-12-31,64.1,$2.29,27.99
2021-09-30,63.83,$1.74,36.69
2021-06-30,71.44,$1.56,45.79
2021-03-31,59.66,$1.56,38.24
2020-12-31,69.28,$1.71,40.52
2020-09-30,67.6,$1.21,55.87
2020-06-30,51.19,$1.52,33.68
2020-03-31,38.94,$1.64,23.75
2019-12-31,39.19,$1.41,27.79
2019-09-30,36.59,$2.30,15.91
2019-06-30,35.93,$1.79,20.08
2019-03-31,38.84,$1.61,24.12
2018-12-31,36.15,$1.51,23.94
2018-09-30,33.18,$1.42,23.37
2018-06-30,30.61,$1.26,24.29
2018-03-31,31.08,$0.92,33.78
2017-12-31,35.71,$0.93,38.39
2017-09-30,33.92,$1.03,32.93
2017-06-30,39.76,$1.04,38.23
2017-03-31,37.88,$1.09,34.76
2016-12-31,42.72,$0.87,49.11
2016-09-30,43.8,$0.96,45.62
2016-06-30,48.07,$1.33,36.14
2016-03-31,42.4,$1.80,23.56
2015-12-31,43.44,$2.22,19.57
2015-09-30,59.97,$2.24,26.77
2015-06-30,51.63,$2.14,24.13
2015-03-31,53.29,$2.10,25.38
2014-12-31,47.09,$2.08,22.64
2014-09-30,49.05,$2.14,22.92
2014-06-30,40.01,$2.25,17.78
2014-03-31,40.71,$2.11,19.29
2013-12-31,38.05,$2.24,16.98
2013-09-30,35.04,$2.05,17.09
2013-06-30,34.82,$1.90,18.33
2013-03-31,29.79,$1.90,15.68
2012-12-31,30.65,$1.70,18.03
2012-09-30,28.42,$1.90,14.96
2012-06-30,27.33,$1.80,15.18
2012-03-31,31.57,$1.75,18.04
2011-12-31,26.88,$1.75,15.36
2011-09-30,27.22,$1.55,17.56
2011-06-30,31.36,$1.55,20.23
2011-03-31,33.2,$1.50,22.14
2010-12-31,32.9,$1.30,25.31
2010-09-30,28.68,$0.20,143.41
2010-06-30,27.46,$0.10,274.62
2010-03-31,24.94,$0.10,249.37
2009-12-31,21.39,$-1.20,0.0
