VSE PE Ratio Historical Data,VSE PE Ratio Historical Data,VSE PE Ratio Historical Data,VSE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,102.8,,1713.33
2024-06-30,88.18,$0.06,1469.67
2024-03-31,79.81,$0.90,88.67
2023-12-31,64.34,$2.02,31.85
2023-09-30,50.14,$2.40,20.89
2023-06-30,54.26,$2.50,21.7
2023-03-31,44.46,$2.41,18.45
2022-12-31,46.34,$2.19,21.16
2022-09-30,34.92,$2.29,15.25
2022-06-30,36.96,$2.27,16.28
2022-03-31,45.22,$0.71,63.69
2021-12-31,59.67,$0.64,93.24
2021-09-30,47.09,$0.70,67.27
2021-06-30,48.32,$0.72,67.1
2021-03-31,38.47,$-0.36,0.0
2020-12-31,37.4,$-0.48,0.0
2020-09-30,29.69,$-0.12,0.0
2020-06-30,30.32,$0.10,303.19
2020-03-31,15.76,$3.04,5.18
2019-12-31,36.48,$3.34,10.92
2019-09-30,32.62,$3.28,9.94
2019-06-30,27.35,$3.25,8.42
2019-03-31,30.03,$3.16,9.5
2018-12-31,28.44,$3.21,8.86
2018-09-30,31.42,$3.96,7.93
2018-06-30,45.24,$3.65,12.39
2018-03-31,48.91,$3.57,13.7
2017-12-31,45.73,$3.59,12.74
2017-09-30,53.61,$2.66,20.15
2017-06-30,42.34,$2.70,15.68
2017-03-31,38.35,$2.26,17.01
2016-12-31,36.45,$2.19,16.64
2016-09-30,31.83,$2.25,14.18
2016-06-30,31.26,$2.20,14.24
2016-03-31,31.72,$2.43,13.05
2015-12-31,28.99,$2.31,12.55
2015-09-30,18.65,$1.99,9.4
2015-06-30,24.85,$1.75,14.24
2015-03-31,37.97,$1.77,21.51
2014-12-31,30.52,$1.81,16.91
2014-09-30,22.66,$1.92,11.8
2014-06-30,32.46,$2.06,15.76
2014-03-31,24.29,$2.17,11.19
2013-12-31,22.08,$2.14,10.32
2013-09-30,21.55,$1.86,11.62
2013-06-30,18.82,$1.92,9.83
2013-03-31,11.42,$1.87,6.12
2012-12-31,11.16,$2.00,5.58
2012-09-30,11.12,$2.36,4.72
2012-06-30,10.76,$2.38,4.52
2012-03-31,11.18,$2.19,5.11
2011-12-31,10.92,$1.96,5.57
2011-09-30,11.6,$1.87,6.22
2011-06-30,11.13,$1.98,5.63
2011-03-31,13.25,$2.17,6.12
2010-12-31,14.7,$2.29,6.43
2010-09-30,15.67,$2.31,6.78
2010-06-30,14.11,$2.37,5.97
2010-03-31,18.24,$2.40,7.6
2009-12-31,19.95,$2.34,8.54
