Inspire Medical Systems PE Ratio Historical Data,Inspire Medical Systems PE Ratio Historical Data,Inspire Medical Systems PE Ratio Historical Data,Inspire Medical Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,197.18,,1095.44
2024-06-30,133.83,$0.18,743.5
2024-03-31,214.79,$-0.55,0.0
2023-12-31,203.43,$-0.74,0.0
2023-09-30,198.44,$-1.13,0.0
2023-06-30,324.64,$-1.44,0.0
2023-03-31,234.07,$-1.56,0.0
2022-12-31,251.88,$-1.64,0.0
2022-09-30,177.37,$-1.83,0.0
2022-06-30,182.67,$-1.61,0.0
2022-03-31,256.69,$-1.56,0.0
2021-12-31,230.06,$-1.55,0.0
2021-09-30,232.88,$-1.74,0.0
2021-06-30,193.26,$-1.75,0.0
2021-03-31,206.99,$-2.15,0.0
2020-12-31,188.09,$-2.22,0.0
2020-09-30,129.05,$-2.32,0.0
2020-06-30,87.02,$-2.27,0.0
2020-03-31,60.28,$-1.71,0.0
2019-12-31,74.21,$-1.39,0.0
2019-09-30,61.02,$-1.23,0.0
2019-06-30,60.65,$-1.11,0.0
2019-03-31,56.78,$-1.22,0.0
