Brady PE Ratio Historical Data,Brady PE Ratio Historical Data,Brady PE Ratio Historical Data,Brady PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,76.24,,18.73
2024-07-31,71.38,$4.07,17.54
2024-04-30,58.6,$3.92,14.95
2024-01-31,59.58,$3.83,15.56
2023-10-31,50.71,$3.74,13.56
2023-07-31,50.61,$3.55,14.26
2023-04-30,49.83,$3.20,15.57
2022-07-31,46.05,$2.91,15.82
2022-04-30,42.86,$2.63,16.3
2022-01-31,49.48,$2.64,18.74
2021-10-31,49.43,$2.70,18.31
2021-07-31,51.67,$2.62,19.72
2022-10-31,44.26,$2.73,16.21
2021-04-30,51.35,$2.47,20.79
2021-01-31,43.03,$2.02,21.3
2020-10-31,35.21,$2.05,17.18
2020-07-31,42.69,$2.11,20.23
2020-04-30,40.23,$2.26,17.8
2020-01-31,50.91,$2.65,19.21
2019-10-31,51.61,$2.58,20.0
2019-07-31,47.19,$2.46,19.18
2019-04-30,44.32,$2.44,18.16
2019-01-31,40.43,$2.28,17.73
2018-10-31,36.26,$1.81,20.04
2018-07-31,34.25,$1.72,19.92
2018-04-30,32.43,$1.54,21.06
2018-01-31,33.88,$1.48,22.89
2017-10-31,33.52,$1.89,17.74
2017-07-31,29.09,$1.84,15.81
2017-04-30,33.92,$1.85,18.34
2017-01-31,31.49,$1.84,17.11
2016-10-31,28.51,$1.72,16.58
2016-07-31,27.52,$0.51,53.97
2016-04-30,22.53,$0.35,64.38
2015-10-31,19.04,$0.16,118.97
2015-07-31,19.49,$0.05,389.86
2015-04-30,21.89,$-1.33,0.0
2015-01-31,21.36,$-1.20,0.0
2014-10-31,19.3,$-1.12,0.0
2014-07-31,20.99,$-0.92,0.0
2014-04-30,20.56,$-2.20,0.0
2014-01-31,21.65,$-2.58,0.0
2013-10-31,22.96,$-3.06,0.0
2013-07-31,25.99,$-2.99,0.0
2013-04-30,26.31,$0.66,39.87
2013-01-31,26.94,$1.10,24.49
2012-10-31,23.62,$1.57,15.04
2012-07-31,20.24,$-0.68,0.0
2012-04-30,23.51,$-0.28,0.0
2016-01-31,18.95,$-0.25,0.0
2012-01-31,24.38,$-0.01,0.0
2011-10-31,23.01,$2.17,10.6
2011-07-31,22.02,$1.96,11.23
2011-04-30,27.9,$1.86,15.0
2011-01-31,24.11,$1.60,15.07
2010-07-31,20.24,$1.55,13.06
2010-04-30,24.83,$1.51,16.44
2010-01-31,20.31,$1.56,13.02
2009-10-31,19.35,$1.62,11.95
2009-07-31,20.88,$1.13,18.48
2010-10-31,22.52,$1.52,14.81
