Cracker Barrel Old Country Store PE Ratio Historical Data,Cracker Barrel Old Country Store PE Ratio Historical Data,Cracker Barrel Old Country Store PE Ratio Historical Data,Cracker Barrel Old Country Store PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.81,,27.07
2024-07-31,45.83,$1.84,24.91
2024-04-30,57.86,$2.71,21.35
2024-01-31,75.25,$3.75,20.07
2023-10-31,63.43,$3.93,16.14
2023-07-31,87.45,$4.45,19.65
2023-04-30,98.3,$4.24,23.18
2023-01-31,102.17,$4.80,21.28
2022-10-31,103.28,$5.03,20.53
2022-07-31,84.85,$5.67,14.96
2022-04-30,97.62,$5.73,17.04
2022-01-31,103.65,$5.95,17.42
2021-10-31,114.72,$4.94,23.22
2021-07-31,116.16,$10.71,10.85
2021-04-30,141.85,$10.23,13.87
2021-01-31,114.61,$2.01,57.02
2020-10-31,96.41,$3.97,24.28
2020-07-31,92.56,$-1.42,0.0
2020-04-30,81.61,$0.23,354.83
2020-01-31,126.26,$9.13,13.83
2019-10-31,127.34,$9.10,13.99
2019-07-31,141.07,$9.27,15.22
2019-04-30,133.68,$9.12,14.66
2019-01-31,131.45,$9.06,14.51
2018-10-31,123.77,$10.33,11.98
2018-07-31,113.36,$10.29,11.02
2018-04-30,123.28,$9.97,12.36
2018-01-31,131.21,$9.89,13.27
2017-10-31,115.29,$8.29,13.91
2017-07-31,113.88,$8.38,13.59
2017-04-30,114.0,$8.27,13.79
2017-01-31,111.67,$8.36,13.36
2016-10-31,96.79,$8.18,11.83
2016-07-31,109.45,$7.87,13.91
2016-04-30,99.01,$7.72,12.82
2016-01-31,88.11,$7.15,12.32
2015-10-31,91.46,$7.10,12.88
2015-07-31,100.27,$7.03,14.26
2015-04-30,85.18,$6.26,13.61
2015-01-31,85.88,$6.34,13.55
2014-07-31,60.87,$5.52,11.03
2014-04-30,58.88,$5.32,11.07
2014-01-31,61.05,$5.54,11.02
2013-10-31,67.26,$5.01,13.43
2013-07-31,59.51,$5.34,11.14
2014-10-31,73.1,$4.88,14.98
2013-04-30,49.92,$4.93,10.13
2013-01-31,38.87,$4.72,8.23
2012-10-31,37.87,$4.35,8.71
2012-07-31,37.0,$4.41,8.39
2012-04-30,33.76,$3.69,9.15
2012-01-31,30.64,$3.52,8.71
2011-10-31,24.64,$3.62,6.81
2011-07-31,26.07,$3.73,6.99
2011-04-30,29.47,$3.59,8.21
2011-01-31,29.48,$4.04,7.3
2010-07-31,27.82,$3.62,7.68
2010-04-30,27.93,$3.47,8.05
2010-01-31,20.83,$3.87,5.38
2009-10-31,18.58,$3.30,5.63
2009-07-31,16.09,$3.33,4.83
