New York Times PE Ratio Historical Data,New York Times PE Ratio Historical Data,New York Times PE Ratio Historical Data,New York Times PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,55.5,,34.26
2024-06-30,50.96,$1.62,31.46
2024-03-31,42.88,$1.50,28.59
2023-12-31,48.49,$1.39,34.89
2023-09-30,40.67,$1.16,35.06
2023-06-30,38.77,$1.06,36.58
2023-03-31,38.17,$1.15,33.19
2022-12-31,31.78,$1.05,30.27
2022-09-30,28.07,$1.03,27.25
2022-06-30,27.15,$1.13,24.03
2022-03-31,44.53,$1.08,41.23
2021-12-31,46.85,$1.29,36.31
2021-09-30,47.72,$0.94,50.77
2021-06-30,42.11,$0.82,51.36
2021-03-31,48.88,$0.64,76.38
2020-12-31,49.93,$0.60,83.22
2020-09-30,41.22,$0.95,43.38
2020-06-30,40.43,$0.85,47.56
2020-03-31,29.48,$0.86,34.28
2019-12-31,30.84,$0.84,36.71
2019-09-30,27.25,$0.76,35.86
2019-06-30,31.17,$0.81,38.48
2019-03-31,31.34,$0.80,39.17
2018-12-31,21.27,$0.75,28.35
2018-09-30,22.05,$0.07,314.96
2018-06-30,24.63,$0.12,205.25
2018-03-31,22.88,$0.07,326.83
2017-12-31,17.56,$0.02,878.11
2017-09-30,18.57,$0.60,30.95
2017-06-30,16.73,$0.40,41.83
2017-03-31,13.57,$0.31,43.78
2016-12-31,12.5,$0.18,69.44
2016-09-30,11.19,$0.26,43.05
2016-06-30,11.3,$0.32,35.3
2016-03-31,11.6,$0.42,27.61
2015-12-31,12.45,$0.38,32.77
2015-09-30,10.92,$0.29,37.66
2015-06-30,12.59,$0.15,83.91
2015-03-31,12.65,$0.11,115.01
2014-12-31,12.12,$0.21,57.7
2014-09-30,10.25,$0.40,25.63
2014-06-30,13.86,$0.32,43.3
2014-03-31,15.56,$0.39,39.89
2013-12-31,14.38,$0.40,35.96
2013-09-30,11.35,$1.13,10.05
2013-06-30,9.99,$1.31,7.63
2013-03-31,8.85,$0.58,15.26
2012-12-31,7.71,$0.84,9.17
2012-09-30,8.82,$0.09,97.96
2012-06-30,7.05,$0.17,41.45
2012-03-31,6.13,$-0.04,0.0
2011-12-31,6.98,$-0.28,0.0
2011-09-30,5.25,$-0.23,0.0
2011-06-30,7.88,$-0.36,0.0
2011-03-31,8.55,$0.66,12.96
2010-12-31,8.85,$0.70,12.65
2010-09-30,6.99,$0.87,8.04
2010-06-30,7.81,$0.65,12.02
2010-03-31,10.05,$0.71,14.16
2009-12-31,11.16,$0.11,101.5
