Avantor PE Ratio Historical Data,Avantor PE Ratio Historical Data,Avantor PE Ratio Historical Data,Avantor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.77,,45.87
2024-06-30,21.2,$0.54,39.26
2024-03-31,25.57,$0.39,65.56
2023-12-31,22.83,$0.48,47.56
2023-09-30,21.08,$0.54,39.04
2023-06-30,20.54,$0.63,32.6
2023-03-31,21.14,$0.92,22.98
2022-12-31,21.09,$0.87,24.24
2022-09-30,19.6,$0.90,21.78
2022-06-30,31.1,$0.89,34.94
2021-12-31,42.14,$0.86,49.0
2021-09-30,40.9,$0.79,51.77
2021-06-30,35.51,$0.83,42.78
2021-03-31,28.93,$0.49,59.04
2020-12-31,28.15,$0.32,87.97
2022-03-31,33.82,$0.31,109.1
2020-09-30,22.49,$0.12,187.42
2020-06-30,17.0,$0.23,73.91
2020-03-31,12.49,$-0.83,0.0
