Piedmont Office Realty Trust PE Ratio Historical Data,Piedmont Office Realty Trust PE Ratio Historical Data,Piedmont Office Realty Trust PE Ratio Historical Data,Piedmont Office Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.87,,0.0
2024-06-30,7.15,$-0.67,0.0
2024-03-31,6.82,$-0.61,0.0
2023-12-31,6.76,$-0.40,0.0
2023-09-30,5.23,$0.44,11.89
2023-06-30,6.64,$0.61,10.89
2023-03-31,6.45,$0.69,9.34
2022-12-31,7.92,$1.19,6.66
2022-09-30,8.94,$0.32,27.93
2022-06-30,10.92,$0.38,28.73
2022-03-31,14.12,$0.40,35.31
2021-12-31,14.88,$-0.01,0.0
2021-09-30,13.96,$0.43,32.45
2021-06-30,14.61,$0.41,35.64
2021-03-31,13.59,$1.85,7.34
2020-12-31,12.55,$1.84,6.82
2020-09-30,10.36,$2.95,3.51
2020-06-30,12.51,$2.95,4.24
2020-03-31,13.14,$1.49,8.82
2019-12-31,16.39,$1.82,9.01
2019-09-30,15.25,$0.88,17.33
2019-06-30,14.4,$0.94,15.32
2019-03-31,14.91,$0.97,15.37
2018-12-31,12.06,$0.99,12.18
2018-09-30,13.4,$0.43,31.16
2018-06-30,13.96,$1.17,11.93
2018-03-31,12.18,$1.24,9.82
2017-12-31,13.42,$0.92,14.59
2017-09-30,13.31,$1.34,9.94
2017-06-30,13.78,$0.38,36.25
2017-03-31,13.84,$0.77,17.97
2016-12-31,13.41,$0.74,18.12
2016-09-30,13.81,$1.37,10.08
2016-06-30,13.53,$1.45,9.33
2016-03-31,12.62,$1.10,11.47
2015-12-31,11.6,$1.15,10.08
2015-09-30,10.87,$0.39,27.88
2015-06-30,10.56,$0.46,22.95
2015-03-31,11.04,$0.34,32.46
2014-12-31,11.05,$0.28,39.46
2014-09-30,10.23,$0.38,26.92
2014-06-30,10.87,$0.44,24.71
2014-03-31,9.74,$0.57,17.09
2013-12-31,9.27,$0.60,15.45
2013-09-30,9.63,$0.51,18.88
2013-06-30,9.8,$0.45,21.78
2013-03-31,10.63,$0.42,25.31
2012-12-31,9.7,$0.55,17.63
2012-09-30,9.21,$1.15,8.01
2012-06-30,9.03,$1.38,6.55
2012-03-31,9.21,$1.32,6.97
2011-12-31,8.74,$1.30,6.72
2011-09-30,8.13,$0.78,10.43
2011-06-30,10.08,$0.72,14.01
2011-03-31,9.45,$0.71,13.32
2010-12-31,9.65,$0.70,13.79
