Triumph PE Ratio Historical Data,Triumph PE Ratio Historical Data,Triumph PE Ratio Historical Data,Triumph PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.99,,2.26
2024-06-30,15.41,$6.64,2.32
2024-03-31,15.04,$6.63,2.27
2023-12-31,16.58,$-0.68,0.0
2023-09-30,7.66,$-0.40,0.0
2023-06-30,12.37,$-0.54,0.0
2023-03-31,11.59,$-0.24,0.0
2022-12-31,10.52,$-0.11,0.0
2022-03-31,25.28,$-0.66,0.0
2021-12-31,18.53,$-1.77,0.0
2021-09-30,18.63,$-0.25,0.0
2021-06-30,20.75,$-1.41,0.0
2021-03-31,18.38,$-1.58,0.0
2022-09-30,8.59,$-5.66,0.0
2020-12-31,12.56,$-8.74,0.0
2020-09-30,6.51,$-7.71,0.0
2020-06-30,9.01,$-7.23,0.0
2020-03-31,6.76,$-1.03,0.0
2019-12-31,25.22,$0.78,32.33
2022-06-30,13.29,$-2.96,0.0
2019-09-30,22.8,$-3.42,0.0
2019-06-30,22.78,$-4.57,0.0
2019-03-31,18.92,$-10.97,0.0
2018-12-31,11.39,$-9.25,0.0
2018-09-30,23.09,$-8.74,0.0
2018-03-31,24.88,$-8.48,0.0
2017-12-31,26.81,$-5.01,0.0
2017-09-30,29.29,$-4.26,0.0
2017-06-30,31.06,$-3.56,0.0
2017-03-31,25.28,$-2.82,0.0
2018-06-30,19.38,$0.15,129.22
2016-12-31,25.98,$-20.24,0.0
2016-09-30,27.29,$-22.63,0.0
2016-06-30,34.71,$-22.08,0.0
2016-03-31,30.74,$-21.21,0.0
2015-12-31,38.77,$2.38,16.29
2015-09-30,41.0,$3.39,12.09
2015-06-30,64.25,$3.46,18.57
2015-03-31,58.11,$4.65,12.5
2014-12-31,65.36,$3.79,17.25
2014-09-30,63.21,$5.25,12.04
2014-06-30,67.81,$4.87,13.92
2014-03-31,62.68,$3.91,16.03
2013-12-31,73.79,$4.35,16.96
2013-09-30,68.08,$5.11,13.32
2013-06-30,76.7,$5.70,13.46
2013-03-31,76.03,$5.66,13.43
2012-12-31,63.21,$6.45,9.8
2012-09-30,60.46,$6.29,9.61
2012-06-30,54.4,$5.89,9.24
2012-03-31,60.53,$5.41,11.19
2011-12-31,56.43,$4.40,12.83
2011-09-30,47.02,$4.01,11.74
2011-06-30,48.0,$3.71,12.96
2011-03-31,42.62,$3.03,14.06
2010-12-31,43.06,$2.75,15.69
2010-09-30,35.9,$2.04,17.6
2010-06-30,32.05,$1.80,17.86
2010-03-31,33.7,$2.04,16.56
2009-12-31,23.18,$1.97,11.8
