Brunswick PE Ratio Historical Data,Brunswick PE Ratio Historical Data,Brunswick PE Ratio Historical Data,Brunswick PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,84.17,,16.97
2024-06-30,72.38,$4.96,14.59
2024-03-31,95.52,$5.38,17.75
2023-12-31,95.29,$5.95,16.01
2023-09-30,77.41,$7.02,11.03
2023-06-30,84.48,$7.61,11.1
2023-03-31,79.54,$8.30,9.58
2022-12-31,69.6,$8.99,7.74
2022-09-30,62.88,$8.34,7.54
2022-06-30,62.53,$7.97,7.85
2022-03-31,77.01,$7.67,10.04
2021-12-31,95.16,$7.57,12.57
2021-09-30,89.71,$7.47,12.01
2021-06-30,93.49,$7.37,12.69
2021-03-31,89.22,$5.97,14.95
2020-12-31,71.11,$4.68,15.19
2020-09-30,54.76,$4.30,12.73
2020-06-30,59.27,$-0.25,0.0
2020-03-31,32.61,$-0.25,0.0
2019-12-31,55.08,$-1.53,0.0
2019-09-30,47.66,$-1.86,0.0
2019-06-30,41.77,$1.76,23.73
2019-03-31,45.61,$1.77,25.77
2018-12-31,41.93,$3.01,13.93
2018-09-30,60.25,$1.20,50.21
2018-06-30,57.8,$1.28,45.16
2018-03-31,53.08,$1.70,31.22
2017-12-31,49.19,$1.59,30.94
2017-09-30,49.68,$3.10,16.02
2017-06-30,55.5,$3.15,17.62
2017-03-31,53.98,$3.00,17.99
2016-12-31,47.98,$2.99,16.05
2016-09-30,42.76,$2.70,15.84
2016-06-30,39.6,$2.58,15.35
2016-03-31,41.79,$2.66,15.71
2015-12-31,43.83,$2.56,17.12
2015-09-30,41.45,$2.61,15.88
2015-06-30,43.91,$2.90,15.14
2015-03-31,44.31,$2.58,17.18
2014-12-31,44.05,$2.58,17.07
2014-09-30,36.12,$8.79,4.11
2014-06-30,36.0,$8.30,4.34
2014-03-31,38.61,$8.23,4.69
2013-12-31,39.18,$8.16,4.8
2013-09-30,33.87,$1.16,29.2
2013-06-30,27.11,$0.57,47.57
2013-03-31,29.04,$0.61,47.61
2012-12-31,24.69,$-0.25,0.0
2012-09-30,19.16,$0.64,29.95
2012-06-30,18.82,$1.37,13.74
2011-12-31,15.29,$0.77,19.86
2011-09-30,11.85,$-0.07,0.0
2011-06-30,17.22,$0.31,55.56
2011-03-31,21.47,$-0.52,0.0
2010-12-31,15.82,$-0.67,0.0
2012-03-31,21.81,$0.35,62.31
2010-09-30,12.81,$-1.48,0.0
2010-06-30,10.46,$-2.69,0.0
2010-03-31,13.44,$-4.69,0.0
2009-12-31,10.7,$-6.62,0.0
