Kellanova PE Ratio Historical Data,Kellanova PE Ratio Historical Data,Kellanova PE Ratio Historical Data,Kellanova PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,80.61,,30.53
2024-06-30,57.68,$2.64,21.85
2024-03-31,57.29,$2.67,21.46
2023-12-31,55.35,$2.75,20.13
2023-09-30,58.29,$2.38,24.49
2023-06-30,65.38,$2.50,26.15
2023-03-31,64.38,$2.42,26.6
2022-12-31,67.89,$2.79,24.33
2022-09-30,65.85,$4.34,15.17
2022-06-30,66.9,$4.33,15.45
2022-03-31,59.97,$4.49,13.36
2021-12-31,59.37,$4.33,13.71
2021-09-30,58.36,$3.66,15.94
2021-06-30,58.2,$3.78,15.4
2021-03-31,56.76,$3.69,15.38
2020-12-31,55.25,$3.63,15.22
2020-09-30,56.84,$3.46,16.43
2020-06-30,57.67,$3.17,18.19
2020-03-31,51.91,$2.99,17.36
2019-12-31,59.31,$2.80,21.18
2019-09-30,54.71,$2.14,25.57
2019-06-30,45.14,$2.51,17.98
2019-03-31,47.84,$3.38,14.15
2018-12-31,47.05,$3.83,12.28
2018-09-30,57.28,$5.30,10.81
2018-06-30,56.71,$5.06,11.21
2018-03-31,52.33,$4.15,12.61
2017-12-31,54.29,$3.62,15.0
2017-09-30,49.4,$2.24,22.05
2017-06-30,54.57,$2.21,24.69
2017-03-31,56.64,$2.20,25.74
2016-12-31,57.09,$1.95,29.28
2016-09-30,59.58,$1.98,30.09
2016-06-30,62.4,$1.74,35.86
2016-03-31,58.11,$1.58,36.78
2015-12-31,54.49,$1.73,31.5
2015-09-30,49.82,$1.03,48.37
2015-06-30,46.59,$1.07,43.54
2015-03-31,48.63,$1.26,38.59
2014-12-31,47.89,$1.74,27.52
2014-09-30,44.74,$4.80,9.32
2014-06-30,47.36,$5.08,9.32
2014-03-31,44.9,$5.22,8.6
2013-12-31,43.4,$4.95,8.77
2013-09-30,41.43,$2.62,15.81
2013-06-30,44.97,$2.54,17.7
2013-03-31,44.79,$2.42,18.51
2012-12-31,38.55,$2.57,15.0
2012-09-30,35.38,$3.30,10.72
2012-06-30,33.49,$3.28,10.21
2012-03-31,36.09,$3.38,10.68
2011-12-31,33.76,$3.38,9.99
2011-09-30,35.19,$3.25,10.83
2011-06-30,36.31,$3.35,10.84
2011-03-31,35.18,$3.20,10.99
2010-12-31,33.04,$3.29,10.04
2010-09-30,32.4,$3.24,10.0
2010-06-30,32.0,$3.28,9.76
2010-03-31,33.76,$3.41,9.9
2009-12-31,33.37,$3.16,10.56
