Criteo S.A PE Ratio Historical Data,Criteo S.A PE Ratio Historical Data,Criteo S.A PE Ratio Historical Data,Criteo S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.1,,29.12
2024-06-30,37.72,$1.48,25.49
2024-03-31,35.07,$0.97,36.15
2023-12-31,25.32,$0.89,28.45
2023-09-30,29.2,$0.12,243.33
2023-06-30,33.74,$0.10,337.4
2023-03-31,31.51,$0.42,75.01
2022-12-31,26.06,$0.94,27.72
2022-09-30,27.03,$1.84,14.69
2022-06-30,24.4,$2.11,11.56
2022-03-31,27.24,$2.07,13.16
2021-12-31,38.87,$2.10,18.51
2021-09-30,36.65,$1.68,21.82
2021-06-30,45.23,$1.40,32.31
2021-03-31,34.73,$1.26,27.56
2020-12-31,20.51,$1.16,17.68
2020-09-30,12.19,$1.08,11.29
2020-06-30,11.39,$1.27,8.97
2020-03-31,7.95,$1.34,5.93
2019-12-31,17.33,$1.38,12.56
2019-09-30,18.69,$1.30,14.38
2019-06-30,17.21,$1.27,13.55
2019-03-31,20.03,$1.31,15.29
2018-12-31,22.72,$1.31,17.34
2018-09-30,22.94,$1.52,15.09
2018-06-30,32.85,$1.56,21.06
2018-03-31,25.84,$1.45,17.82
2017-12-31,26.03,$1.34,19.43
2017-09-30,41.5,$1.16,35.78
2017-06-30,49.05,$1.08,45.42
2017-03-31,49.99,$1.18,42.36
2016-12-31,41.08,$1.26,32.6
2016-09-30,35.11,$1.24,28.31
2016-06-30,45.92,$1.11,41.37
2016-03-31,41.42,$0.98,42.27
2015-12-31,39.6,$0.92,43.04
2015-09-30,37.54,$0.65,57.75
2015-06-30,47.67,$0.80,59.59
2015-03-31,39.5,$0.79,50.0
2014-12-31,40.42,$0.67,60.33
2014-09-30,33.65,$0.36,93.47
