Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,100.43,,13.46
2024-06-30,89.7,$7.46,12.02
2023-12-31,85.19,$6.92,12.31
2023-09-30,72.76,$6.88,10.57
2023-06-30,92.09,$6.61,13.93
2023-03-31,90.63,$6.56,13.82
2022-12-31,77.74,$7.13,10.9
2024-03-31,96.01,$5.87,16.36
2022-09-30,59.59,$6.23,9.57
2022-06-30,59.45,$6.11,9.73
2022-03-31,78.54,$6.03,13.03
2021-12-31,67.19,$6.53,10.29
2021-09-30,65.79,$6.42,10.25
2021-06-30,71.92,$6.22,11.56
2021-03-31,66.11,$4.51,14.66
2020-12-31,55.1,$4.37,12.61
2020-09-30,43.27,$4.42,9.79
2020-06-30,47.14,$4.29,10.99
2020-03-31,46.84,$6.08,7.7
2019-12-31,68.39,$6.06,11.28
2019-09-30,65.55,$5.94,11.04
2019-06-30,68.05,$5.94,11.46
2019-03-31,60.12,$5.40,11.13
2018-12-31,59.8,$5.32,11.24
2018-09-30,55.08,$4.68,11.77
2018-03-31,57.88,$4.76,12.16
2017-12-31,57.53,$4.64,12.4
2017-09-30,58.04,$5.02,11.56
2017-06-30,64.48,$4.95,13.03
2017-03-31,66.61,$4.91,13.57
2016-12-31,65.33,$4.79,13.64
2016-09-30,64.84,$4.67,13.88
2016-06-30,61.76,$5.21,11.85
2016-03-31,62.67,$4.82,13.0
2015-12-31,56.61,$5.18,10.93
2018-06-30,61.23,$4.66,13.14
2015-09-30,48.98,$4.36,11.23
2015-06-30,51.26,$4.34,11.81
2015-03-31,57.14,$4.32,13.23
2014-12-31,56.4,$4.26,13.24
2014-09-30,49.81,$4.09,12.18
2014-06-30,51.16,$3.88,13.18
2014-03-31,51.78,$3.73,13.88
2013-12-31,52.76,$3.72,14.18
2013-09-30,44.75,$3.72,12.03
2013-06-30,44.08,$3.72,11.85
2013-03-31,41.03,$3.65,11.24
2012-12-31,34.56,$3.61,9.57
2012-09-30,35.45,$3.44,10.31
2012-06-30,33.23,$3.42,9.72
2012-03-31,34.42,$3.36,10.24
2011-12-31,30.11,$3.33,9.04
2011-09-30,24.73,$3.20,7.73
2011-06-30,32.11,$3.05,10.53
2011-03-31,32.53,$2.88,11.3
2010-12-31,30.22,$2.71,11.15
2010-09-30,25.94,$2.61,9.94
2010-06-30,22.42,$2.57,8.72
2010-03-31,25.23,$2.54,9.93
2009-12-31,25.32,$2.56,9.89
