BCE PE Ratio Historical Data,BCE PE Ratio Historical Data,BCE PE Ratio Historical Data,BCE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.49,,21.06
2024-06-30,31.46,$1.59,19.78
2024-03-31,32.31,$1.44,22.44
2023-12-31,36.65,$1.69,21.69
2023-09-30,34.9,$1.81,19.28
2023-06-30,40.96,$1.89,21.67
2023-03-31,39.61,$2.13,18.6
2022-12-31,38.24,$2.31,16.55
2022-09-30,35.96,$2.43,14.8
2022-06-30,41.54,$2.49,16.68
2022-03-31,46.17,$2.59,17.83
2021-12-31,42.75,$2.39,17.89
2021-09-30,40.57,$2.59,15.66
2021-06-30,39.44,$2.50,15.78
2021-03-31,35.59,$2.07,17.19
2020-12-31,33.23,$2.06,16.13
2020-09-30,31.73,$1.87,16.97
2020-06-30,31.49,$2.03,15.51
2020-03-31,30.36,$2.48,12.24
2019-12-31,33.94,$2.55,13.31
2019-09-30,35.01,$2.50,14.0
2019-06-30,32.48,$2.46,13.2
2019-03-31,31.29,$2.43,12.88
2018-12-31,27.49,$2.39,11.5
2018-09-30,27.8,$2.38,11.68
2018-06-30,27.39,$2.38,11.51
2018-03-31,28.71,$2.39,12.01
2017-12-31,31.6,$2.40,13.17
2017-09-30,30.47,$2.46,12.39
2017-06-30,28.95,$2.44,11.86
2017-03-31,28.11,$2.48,11.34
2016-12-31,27.12,$2.49,10.89
2016-09-30,28.63,$2.36,12.13
2016-06-30,29.0,$2.36,12.29
2016-03-31,27.6,$2.43,11.36
2015-12-31,23.13,$2.35,9.84
2015-09-30,24.24,$2.43,9.97
2015-06-30,24.85,$2.43,10.22
2015-03-31,24.47,$2.41,10.15
2014-12-31,26.17,$2.61,10.03
2014-09-30,24.12,$2.68,9.0
2014-06-30,25.26,$2.43,10.4
2014-03-31,23.73,$2.43,9.76
2013-12-31,23.5,$2.44,9.63
2013-09-30,22.89,$2.77,8.26
2013-06-30,21.7,$3.09,7.02
2013-03-31,24.38,$3.38,7.21
2012-12-31,22.13,$3.45,6.42
2012-09-30,22.35,$3.17,7.05
2012-06-30,20.69,$3.24,6.39
2012-03-31,19.86,$3.03,6.55
2011-12-31,20.39,$2.93,6.96
2011-09-30,18.1,$2.88,6.28
2011-06-30,18.73,$2.76,6.79
2011-03-31,17.09,$2.73,6.26
2010-12-31,16.44,$2.80,5.87
2010-09-30,14.87,$2.66,5.59
2010-06-30,13.21,$2.66,4.96
2010-03-31,13.06,$2.32,5.63
2009-12-31,12.12,$2.03,5.97
