Globalstar PE Ratio Historical Data,Globalstar PE Ratio Historical Data,Globalstar PE Ratio Historical Data,Globalstar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1.21,,0.0
2024-06-30,1.12,$-0.03,0.0
2024-03-31,1.47,$-0.02,0.0
2023-12-31,1.94,$-0.01,0.0
2023-09-30,1.31,0,0.0
2023-06-30,1.08,$-0.11,0.0
2023-03-31,1.16,$-0.12,0.0
2022-12-31,1.33,$-0.13,0.0
2022-09-30,1.59,$-0.14,0.0
2022-06-30,1.23,$-0.05,0.0
2022-03-31,1.47,$-0.05,0.0
2021-12-31,1.16,$-0.06,0.0
2021-09-30,1.67,$-0.06,0.0
2021-06-30,1.78,$-0.05,0.0
2021-03-31,1.35,$-0.05,0.0
2020-12-31,0.34,$-0.05,0.0
2020-09-30,0.31,$-0.07,0.0
2020-06-30,0.33,$-0.07,0.0
2020-03-31,0.29,$-0.05,0.0
2019-12-31,0.52,$-0.01,0.0
2019-09-30,0.41,$-0.05,0.0
2019-06-30,0.48,$-0.03,0.0
2019-03-31,0.43,$-0.05,0.0
2018-12-31,0.64,$-0.01,0.0
2018-09-30,0.51,$0.04,12.7
2018-06-30,0.49,$0.07,7.0
2018-03-31,0.69,$-0.01,0.0
2017-12-31,1.31,$-0.09,0.0
2017-09-30,1.63,$-0.18,0.0
2017-06-30,2.13,$-0.22,0.0
2017-03-31,1.6,$-0.12,0.0
2016-12-31,1.58,$-0.13,0.0
2016-09-30,1.21,$-0.05,0.0
2016-06-30,1.21,$-0.03,0.0
2016-03-31,1.47,$0.13,11.31
2015-12-31,1.44,$0.03,48.0
2015-09-30,1.57,$0.14,11.21
2015-06-30,2.11,$0.23,9.17
2015-03-31,3.33,$-0.42,0.0
