Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,140.31,,12.03
2024-06-30,139.95,$11.66,12.0
2024-03-31,160.68,$13.00,12.36
2023-12-31,130.02,$15.47,8.4
2023-09-30,116.26,$16.58,7.01
2023-06-30,91.45,$23.05,3.97
2023-03-31,96.14,$25.86,3.72
2022-12-31,97.67,$22.95,4.26
2022-09-30,75.07,$21.86,3.43
2022-06-30,75.44,$11.61,6.5
2022-03-31,78.67,$5.74,13.71
2021-12-31,65.28,$2.96,22.05
2021-09-30,62.35,$-1.15,0.0
2021-06-30,75.43,$-3.88,0.0
2021-03-31,70.91,$-4.87,0.0
2020-12-31,60.17,$-1.74,0.0
2020-09-30,43.96,$1.07,41.09
2020-06-30,60.11,$6.01,10.0
2019-12-31,91.06,$6.78,13.43
2019-09-30,83.06,$9.96,8.34
2019-06-30,75.19,$2.72,27.64
2019-03-31,75.7,$2.78,27.23
2018-12-31,67.96,$5.18,13.12
2020-03-31,44.29,$1.43,30.97
2018-09-30,88.18,$13.34,6.61
2018-06-30,87.26,$11.76,7.42
2018-03-31,74.04,$9.98,7.42
2017-12-31,77.48,$9.93,7.8
2017-09-30,69.65,$3.99,17.46
2017-06-30,62.34,$3.35,18.61
2017-03-31,59.2,$3.22,18.38
2016-12-31,64.06,$2.92,21.94
2016-09-30,59.26,$3.81,15.56
2016-06-30,57.91,$5.75,10.07
2016-03-31,62.7,$6.66,9.41
2015-12-31,58.78,$7.73,7.6
2015-09-30,54.88,$8.58,6.4
2015-06-30,57.15,$7.77,7.36
2015-03-31,55.38,$7.44,7.44
2014-12-31,50.18,$8.32,6.03
2014-09-30,56.52,$7.64,7.4
2014-06-30,55.58,$6.42,8.66
2014-03-31,52.93,$6.44,8.22
2013-12-31,52.7,$6.00,8.78
2013-09-30,39.27,$5.74,6.84
2013-06-30,39.8,$7.38,5.39
2013-03-31,47.04,$7.71,6.1
