Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,934.68,,114.26
2024-06-30,821.68,$8.18,100.45
2024-03-31,676.39,$8.58,78.83
2023-12-31,628.65,$9.26,67.89
2023-03-31,496.04,$9.65,51.4
2022-12-31,349.73,$9.04,38.69
2022-09-30,358.65,$8.10,44.28
2022-06-30,378.24,$8.01,47.22
2022-03-31,477.44,$7.08,67.43
2021-12-31,484.21,$6.59,73.48
2023-09-30,459.72,$6.03,76.24
2021-09-30,475.14,$4.45,106.77
2021-06-30,365.65,$4.19,87.27
2021-03-31,345.28,$5.07,68.1
2020-12-31,357.39,$4.76,75.08
2020-09-30,272.48,$4.63,58.85
2023-06-30,536.37,$4.15,129.25
2020-06-30,230.54,$2.75,83.83
2020-03-31,162.54,$2.56,63.49
2019-12-31,172.27,$2.40,71.78
2019-09-30,150.27,$2.41,62.35
2019-06-30,130.77,$2.32,56.36
2018-12-31,111.29,$2.36,47.16
2018-09-30,119.86,$2.02,59.34
2018-06-30,127.33,$1.89,67.37
2018-03-31,110.03,$1.88,58.53
2017-12-31,106.51,$1.74,61.21
2019-03-31,130.1,$1.80,72.28
2017-09-30,100.83,$1.61,62.62
2017-06-30,91.05,$1.41,64.57
2017-03-31,86.81,$1.33,65.27
2016-12-31,77.06,$1.25,61.65
2016-09-30,75.53,$1.10,68.67
2016-06-30,63.94,$1.04,61.48
2016-03-31,59.38,$0.96,61.86
2015-12-31,59.26,$0.86,68.9
2015-09-30,47.48,$0.84,56.52
2015-06-30,46.83,$0.84,55.75
2015-03-31,48.44,$0.81,59.8
2014-12-31,45.59,$0.89,51.22
2014-09-30,40.25,$0.86,46.81
2014-06-30,38.57,$0.77,50.09
2014-03-31,35.18,$0.75,46.91
2013-12-31,31.45,$0.59,53.31
2013-09-30,27.48,$0.41,67.02
2013-06-30,21.88,$0.38,57.58
2013-03-31,22.12,$0.42,52.66
2012-12-31,20.22,$0.43,47.02
2012-09-30,17.13,$0.49,34.95
2012-06-30,17.21,$0.49,35.13
2012-03-31,17.06,$0.41,41.6
2011-12-31,13.07,$0.38,34.39
2011-09-30,8.83,$0.41,21.53
2011-06-30,13.37,$0.60,22.29
2011-03-31,12.3,$0.67,18.37
2010-12-31,14.33,$0.79,18.13
2010-09-30,14.16,$0.81,17.48
2010-06-30,15.49,$0.80,19.36
2010-03-31,19.34,$0.72,26.86
2009-12-31,20.79,$0.53,39.22
