AllianceBernstein Holding PE Ratio Historical Data,AllianceBernstein Holding PE Ratio Historical Data,AllianceBernstein Holding PE Ratio Historical Data,AllianceBernstein Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.41,,13.38
2024-06-30,33.05,$2.87,11.52
2024-03-31,33.25,$2.41,13.8
2023-12-31,29.01,$2.33,12.45
2023-09-30,27.74,$2.21,12.55
2023-06-30,28.84,$2.27,12.71
2023-03-31,32.16,$2.43,13.23
2022-12-31,29.72,$2.71,10.97
2022-09-30,29.79,$3.39,8.79
2022-06-30,34.77,$3.72,9.35
2022-03-31,38.46,$3.94,9.76
2021-12-31,38.83,$3.88,10.01
2021-09-30,38.81,$3.58,10.84
2021-06-30,35.79,$3.39,10.56
2021-03-31,30.19,$3.07,9.84
2020-12-31,24.85,$2.89,8.6
2020-09-30,19.43,$2.76,7.04
2020-06-30,19.17,$2.68,7.15
2020-03-31,12.72,$2.63,4.84
2019-12-31,20.21,$2.49,8.12
2019-09-30,19.18,$2.28,8.41
2019-06-30,19.05,$2.34,8.14
2019-03-31,18.52,$2.39,7.75
2018-12-31,17.14,$2.50,6.86
2018-09-30,18.66,$2.71,6.88
2018-06-30,17.12,$2.49,6.87
2018-03-31,15.67,$2.33,6.72
2017-12-31,14.18,$2.19,6.47
2017-09-30,13.48,$2.12,6.36
2017-06-30,12.86,$2.18,5.9
2017-03-31,12.16,$2.16,5.63
2016-12-31,12.14,$2.26,5.37
2016-09-30,11.55,$2.02,5.72
2016-06-30,11.59,$1.93,6.01
2016-03-31,11.45,$2.00,5.73
2015-12-31,11.36,$1.89,6.01
2015-09-30,12.46,$1.95,6.39
2015-06-30,13.6,$1.97,6.9
2015-03-31,14.01,$1.93,7.26
2014-12-31,11.48,$1.86,6.17
2014-09-30,11.37,$1.89,6.01
2014-06-30,11.12,$1.76,6.32
2014-03-31,10.55,$1.72,6.13
2013-12-31,8.8,$1.72,5.12
2013-09-30,8.04,$1.36,5.91
2013-06-30,8.28,$0.81,10.22
2013-03-31,8.58,$0.62,13.84
2012-12-31,6.71,$0.50,13.41
2012-09-30,5.8,$-1.73,0.0
2012-06-30,4.7,$-1.24,0.0
2012-03-31,5.67,$-1.11,0.0
2011-12-31,4.71,$-0.95,0.0
2011-09-30,4.83,$1.44,3.35
2011-06-30,6.72,$1.30,5.17
2011-03-31,7.4,$1.27,5.83
2010-12-31,7.77,$1.31,5.93
2010-09-30,8.76,$1.51,5.8
2010-06-30,8.47,$1.80,4.71
2010-03-31,9.9,$1.56,6.35
2009-12-31,8.86,$1.77,5.01
