UFP Technologies PE Ratio Historical Data,UFP Technologies PE Ratio Historical Data,UFP Technologies PE Ratio Historical Data,UFP Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,309.39,,48.88
2024-06-30,263.87,$6.33,41.69
2023-12-31,172.04,$5.85,29.41
2023-09-30,161.45,$5.44,29.68
2023-06-30,193.85,$5.56,34.87
2023-03-31,129.84,$6.57,19.76
2022-12-31,117.89,$6.47,18.22
2024-03-31,252.2,$6.01,41.96
2022-09-30,85.84,$4.79,17.92
2022-06-30,79.57,$2.73,29.15
2022-03-31,66.17,$2.18,30.35
2021-12-31,70.26,$2.09,33.62
2021-09-30,61.59,$2.22,27.74
2021-06-30,57.42,$2.12,27.08
2021-03-31,49.82,$1.81,27.52
2020-12-31,46.6,$1.78,26.18
2020-09-30,41.42,$2.00,20.71
2020-06-30,44.06,$2.35,18.75
2020-03-31,38.09,$2.66,14.32
2019-12-31,49.61,$2.64,18.79
2019-09-30,38.6,$2.46,15.69
2019-06-30,41.61,$2.27,18.33
2019-03-31,37.4,$2.19,17.08
2018-12-31,30.04,$1.93,15.56
2018-09-30,36.75,$1.71,21.49
2018-06-30,30.85,$1.38,22.36
2018-03-31,29.5,$1.20,24.58
2017-12-31,27.8,$1.26,22.06
2017-09-30,28.1,$1.09,25.78
2017-06-30,28.3,$1.23,23.01
2017-03-31,25.9,$1.25,20.72
2016-12-31,25.45,$1.10,23.14
2016-09-30,26.5,$1.13,23.45
2016-06-30,22.54,$1.04,21.67
2016-03-31,22.27,$0.98,22.72
2015-12-31,23.82,$1.06,22.47
2015-09-30,22.85,$1.05,21.76
2015-06-30,20.92,$1.06,19.74
2015-03-31,22.78,$1.00,22.78
2014-12-31,24.59,$1.06,23.19
2014-09-30,21.98,$1.31,16.78
2014-06-30,24.09,$1.43,16.85
2014-03-31,24.36,$1.59,15.32
2013-12-31,25.22,$1.59,15.86
2013-09-30,22.77,$1.57,14.5
2013-06-30,19.58,$1.53,12.8
2013-03-31,19.69,$1.50,13.13
2012-12-31,17.92,$1.54,11.64
2012-09-30,17.59,$1.52,11.57
2012-06-30,16.9,$1.50,11.27
2012-03-31,19.45,$1.50,12.97
2011-12-31,14.77,$1.49,9.91
2011-09-30,14.41,$1.51,9.54
2011-06-30,18.92,$1.51,12.53
2011-03-31,17.21,$1.46,11.79
2010-12-31,12.19,$1.37,8.9
2010-09-30,11.69,$1.37,8.53
2010-06-30,9.18,$1.36,6.75
2010-03-31,10.34,$1.11,9.32
2009-12-31,6.5,$0.94,6.91
