Dorman Products PE Ratio Historical Data,Dorman Products PE Ratio Historical Data,Dorman Products PE Ratio Historical Data,Dorman Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,118.14,,21.64
2024-06-30,91.48,$5.46,16.75
2024-03-31,96.39,$4.97,19.39
2023-12-31,83.41,$4.10,20.34
2023-09-30,75.76,$3.07,24.68
2023-06-30,78.83,$2.76,28.56
2023-03-31,86.26,$2.92,29.54
2022-12-31,80.87,$3.85,21.01
2022-09-30,82.12,$4.35,18.88
2022-06-30,109.71,$4.42,24.82
2022-03-31,95.03,$4.21,22.57
2021-12-31,113.01,$4.12,27.43
2021-09-30,94.67,$4.16,22.76
2021-06-30,103.67,$4.18,24.8
2021-03-31,102.64,$3.62,28.35
2020-12-31,86.82,$3.30,26.31
2020-09-30,90.38,$2.73,33.11
2020-06-30,67.07,$2.32,28.91
2020-03-31,55.27,$2.55,21.67
2019-12-31,75.72,$2.56,29.58
2019-09-30,79.54,$3.07,25.91
2019-06-30,87.14,$3.45,25.26
2019-03-31,88.09,$3.82,23.06
2018-12-31,90.02,$4.04,22.28
2018-09-30,76.92,$3.64,21.13
2018-06-30,68.31,$3.41,20.03
2018-03-31,66.21,$3.21,20.63
2017-12-31,61.14,$3.13,19.53
2017-09-30,71.62,$3.31,21.64
2017-06-30,82.77,$3.28,25.23
2017-03-31,82.13,$3.20,25.67
2016-12-31,73.06,$3.06,23.88
2016-09-30,63.9,$2.85,22.42
2016-06-30,57.2,$2.81,20.36
2016-03-31,54.42,$2.71,20.08
2015-12-31,47.47,$2.60,18.26
2015-09-30,50.89,$2.50,20.36
2015-06-30,47.66,$2.45,19.45
2015-03-31,49.75,$2.44,20.39
2014-12-31,48.27,$2.48,19.46
2014-09-30,40.06,$2.52,15.9
2014-06-30,49.32,$2.46,20.05
2014-03-31,59.06,$2.35,25.13
2013-12-31,56.04,$2.23,25.13
2013-09-30,49.55,$2.09,23.71
2013-06-30,45.63,$2.03,22.48
2013-03-31,37.21,$2.04,18.24
2012-12-31,35.34,$1.95,18.17
2012-09-30,30.15,$1.98,15.23
2012-06-30,24.01,$1.74,13.84
2012-03-31,24.21,$1.55,15.67
2011-12-31,17.67,$1.46,12.1
2011-09-30,15.81,$1.34,11.8
2011-06-30,18.94,$1.38,13.72
2011-03-31,20.14,$1.35,14.97
2010-12-31,17.34,$1.27,13.65
2010-09-30,14.75,$1.15,12.82
2010-06-30,9.73,$1.02,9.58
2010-03-31,9.09,$0.88,10.38
2009-12-31,7.5,$0.74,10.2
