"Vista Oil & Gas, S.A.B De C.V PE Ratio Historical Data","Vista Oil & Gas, S.A.B De C.V PE Ratio Historical Data","Vista Oil & Gas, S.A.B De C.V PE Ratio Historical Data","Vista Oil & Gas, S.A.B De C.V PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.93,,11.33
2024-06-30,45.48,$4.32,10.53
2024-03-31,41.38,$3.45,11.99
2023-12-31,29.51,$3.97,7.43
2023-09-30,30.39,$3.41,8.91
2023-06-30,24.12,$3.34,7.22
2023-03-31,19.79,$3.88,5.1
2022-12-31,15.66,$2.73,5.74
2022-09-30,9.42,$2.34,4.03
2022-06-30,7.39,$1.64,4.51
2022-03-31,9.09,$0.64,14.2
2021-12-31,5.33,$0.53,10.06
2021-09-30,5.03,0,0.0
2021-06-30,4.1,$-0.37,0.0
2021-03-31,2.56,$-0.88,0.0
2020-12-31,2.56,$-1.18,0.0
2020-09-30,2.25,$-1.53,0.0
2020-06-30,3.05,$-0.96,0.0
