Interface PE Ratio Historical Data,Interface PE Ratio Historical Data,Interface PE Ratio Historical Data,Interface PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.89,,17.76
2024-06-30,14.67,$1.12,13.1
2024-03-31,16.8,$1.01,16.63
2023-12-31,12.6,$0.76,16.58
2023-09-30,9.78,$0.01,978.34
2023-06-30,8.76,$0.08,109.47
2023-03-31,8.08,$0.09,89.76
2022-12-31,9.81,$0.32,30.65
2022-09-30,8.92,$1.11,8.04
2022-06-30,12.44,$1.06,11.73
2022-03-31,13.45,$1.04,12.93
2021-12-31,15.8,$0.94,16.81
2021-09-30,15.0,$0.90,16.66
2021-06-30,15.13,$-1.04,0.0
2021-03-31,12.34,$-1.02,0.0
2020-12-31,10.37,$-0.69,0.0
2020-03-31,7.44,$-0.52,0.0
2019-12-31,16.18,$1.35,11.98
2019-09-30,14.03,$1.18,11.89
2019-06-30,14.81,$0.87,17.02
2019-03-31,14.74,$0.72,20.47
2018-12-31,13.66,$0.85,16.07
2018-09-30,22.29,$0.81,27.52
2018-06-30,21.85,$0.99,22.07
2018-03-31,23.92,$0.97,24.66
2017-12-31,23.81,$0.85,28.01
2017-09-30,20.68,$0.85,24.33
2017-06-30,18.49,$0.78,23.7
2017-03-31,17.87,$0.77,23.21
2016-12-31,17.35,$0.84,20.65
2016-09-30,15.55,$1.05,14.81
2016-06-30,14.16,$1.11,12.75
2016-03-31,17.16,$1.12,15.32
2015-12-31,17.66,$1.11,15.91
2015-09-30,20.63,$0.95,21.72
2015-06-30,23.01,$0.63,36.52
2015-03-31,19.05,$0.50,38.11
2014-12-31,15.07,$0.37,40.73
2014-09-30,14.73,$0.48,30.69
2014-06-30,17.16,$0.72,23.83
2014-03-31,18.68,$0.69,27.08
2013-12-31,19.93,$0.74,26.94
2013-09-30,17.99,$0.62,29.01
2013-06-30,15.36,$0.30,51.19
2013-03-31,17.37,$0.29,59.89
2012-12-31,14.5,$0.09,161.14
2012-09-30,11.9,$0.04,297.51
2012-06-30,12.26,$0.32,38.3
2012-03-31,12.53,$0.36,34.79
2011-12-31,10.34,$0.53,19.52
2011-09-30,10.61,$0.26,40.82
2011-06-30,17.31,$0.26,66.56
2020-06-30,8.02,$0.18,44.55
2010-12-31,13.98,$0.13,107.53
2010-09-30,12.67,$0.43,29.46
2010-06-30,9.55,$0.39,24.5
2010-03-31,10.29,$0.36,28.6
2009-12-31,7.39,$0.39,18.94
2011-03-31,16.5,$0.23,71.75
2009-09-30,7.37,$0.18,40.97
