RH PE Ratio Historical Data,RH PE Ratio Historical Data,RH PE Ratio Historical Data,RH PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,348.1,,204.76
2024-07-31,290.08,$1.70,170.64
2024-04-30,247.05,$3.61,68.43
2024-01-31,253.48,$5.57,45.51
2023-10-31,217.96,$9.21,23.67
2023-07-31,388.17,$13.11,29.61
2023-04-30,255.13,$15.12,16.87
2023-01-31,311.99,$25.52,12.23
2022-10-31,253.93,$26.22,9.68
2022-07-31,279.43,$28.32,9.87
2022-04-30,336.12,$30.04,11.19
2022-01-31,402.82,$22.07,18.25
2021-10-31,659.63,$21.47,30.72
2021-07-31,664.08,$17.23,38.54
2021-04-30,688.02,$13.85,49.68
2021-01-31,475.36,$9.49,50.09
2020-10-31,335.23,$7.84,42.76
2020-07-31,287.43,$8.37,34.34
2020-04-30,143.78,$7.52,19.12
2020-01-31,208.75,$9.12,22.89
2019-10-31,181.7,$7.87,23.09
2019-07-31,139.4,$6.51,21.41
2019-04-30,106.71,$5.98,17.84
2019-01-31,135.87,$5.66,24.01
2018-10-31,115.71,$4.26,27.16
2018-07-31,135.86,$4.01,33.88
2018-04-30,95.45,$1.40,68.18
2018-01-31,93.99,$0.20,469.95
2017-10-31,89.92,$0.40,224.8
2017-07-31,65.13,$-0.10,0.0
2017-04-30,47.97,$0.35,137.06
2017-01-31,27.02,$0.11,245.64
2016-10-31,28.97,$0.69,41.99
2016-07-31,30.81,$1.12,27.51
2016-04-30,43.27,$1.66,26.07
2016-01-31,61.62,$2.16,28.53
2015-10-31,103.09,$2.39,43.13
2015-07-31,101.46,$2.37,42.81
2015-04-30,86.17,$2.32,37.14
2015-01-31,87.53,$2.19,39.97
2014-10-31,80.32,$1.82,44.13
2014-07-31,81.79,$1.58,51.77
2014-04-30,62.39,$0.46,135.63
2014-01-31,56.74,$0.42,135.1
2013-10-31,69.74,$-0.98,0.0
