RLI PE Ratio Historical Data,RLI PE Ratio Historical Data,RLI PE Ratio Historical Data,RLI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,164.21,,22.4
2024-06-30,140.43,$7.33,19.16
2024-03-31,148.19,$7.24,20.47
2023-12-31,132.63,$6.62,20.03
2023-09-30,133.12,$6.26,21.27
2023-06-30,133.41,$15.58,8.56
2023-03-31,129.66,$14.94,8.68
2022-12-31,127.81,$14.87,8.59
2022-09-30,94.31,$13.38,7.05
2022-03-31,101.45,$5.56,18.25
2021-12-31,102.55,$6.11,16.78
2021-09-30,89.81,$5.87,15.3
2021-06-30,93.46,$5.18,18.04
2021-03-31,99.46,$4.32,23.02
2020-12-31,92.64,$4.76,19.46
2022-06-30,107.15,$1.56,68.68
2020-09-30,73.55,$2.79,26.36
2020-06-30,71.94,$2.57,27.99
2020-03-31,76.81,$1.42,54.09
2019-12-31,78.42,$4.24,18.5
2019-09-30,79.95,$2.60,30.75
2019-06-30,73.57,$2.77,26.56
2019-03-31,61.42,$2.62,23.44
2018-12-31,58.87,$1.43,41.17
2018-09-30,67.06,$3.18,21.09
2018-06-30,56.32,$2.34,24.07
2018-03-31,53.76,$2.19,24.55
2017-12-31,51.27,$2.37,21.63
2017-09-30,46.96,$1.80,26.09
2017-06-30,44.54,$2.26,19.71
2017-03-31,48.76,$2.32,21.02
2016-12-31,51.11,$2.58,19.81
2016-09-30,53.43,$2.62,20.39
2016-06-30,53.6,$2.93,18.29
2016-03-31,51.95,$3.12,16.65
2015-12-31,47.84,$3.11,15.38
2015-09-30,40.03,$3.20,12.51
2015-06-30,38.29,$3.15,12.16
2015-03-31,38.9,$3.13,12.43
2014-12-31,36.53,$3.09,11.82
2014-09-30,29.95,$3.01,9.95
2014-06-30,31.55,$3.12,10.13
2014-03-31,30.37,$2.99,10.17
2013-12-31,33.29,$2.90,11.48
2013-09-30,28.93,$2.71,10.67
2013-06-30,25.17,$2.44,10.32
2013-03-31,23.57,$2.33,10.14
2012-12-31,21.11,$2.40,8.8
2012-09-30,20.12,$2.54,7.94
2012-06-30,20.48,$2.55,8.03
2012-03-31,21.42,$2.60,8.25
2011-12-31,21.69,$2.90,7.49
2011-09-30,17.56,$2.85,6.16
2011-03-31,15.76,$3.07,5.13
2010-12-31,14.3,$3.02,4.74
2010-09-30,13.53,$2.78,4.87
2010-06-30,12.49,$3.22,3.88
2010-03-31,13.49,$3.10,4.35
2009-12-31,12.53,$3.32,3.78
2011-06-30,17.02,$2.57,6.63
