PDF Solutions PE Ratio Historical Data,PDF Solutions PE Ratio Historical Data,PDF Solutions PE Ratio Historical Data,PDF Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.93,,0.0
2024-06-30,36.38,$-0.08,0.0
2024-03-31,33.67,$0.05,673.4
2023-12-31,32.14,$0.07,459.14
2023-09-30,32.4,$0.06,540.0
2023-06-30,45.1,$0.23,196.09
2023-03-31,42.4,$0.03,1413.33
2022-12-31,28.52,$-0.09,0.0
2022-09-30,24.53,$-0.29,0.0
2022-06-30,21.51,$-0.39,0.0
2022-03-31,27.87,$-0.48,0.0
2021-12-31,31.79,$-0.58,0.0
2021-09-30,23.04,$-1.30,0.0
2021-06-30,18.18,$-1.32,0.0
2021-03-31,17.78,$-1.31,0.0
2020-12-31,21.6,$-1.12,0.0
2020-09-30,18.71,$-0.25,0.0
2020-06-30,19.56,$-0.19,0.0
2020-03-31,11.72,$-0.10,0.0
2019-12-31,16.89,$-0.16,0.0
2019-09-30,13.07,$-0.22,0.0
2019-06-30,13.12,$-0.26,0.0
2019-03-31,12.35,$-0.31,0.0
2018-12-31,8.43,$-0.24,0.0
2018-09-30,9.03,$-0.22,0.0
2018-06-30,11.98,$-0.14,0.0
2018-03-31,11.66,$-0.06,0.0
2017-12-31,15.7,$-0.03,0.0
2017-09-30,15.49,$0.14,110.64
2017-06-30,16.45,$0.18,91.39
2017-03-31,22.62,$0.24,94.25
2016-12-31,22.55,$0.29,77.76
2016-09-30,18.17,$0.29,62.66
2016-06-30,13.99,$0.28,49.96
2016-03-31,13.38,$0.28,47.79
2015-12-31,10.84,$0.39,27.79
2015-09-30,10.0,$0.48,20.83
2015-06-30,16.0,$0.48,33.33
2015-03-31,17.92,$0.56,32.0
2014-12-31,14.86,$0.58,25.62
2014-09-30,12.61,$0.61,20.67
2014-06-30,21.22,$0.71,29.89
2014-03-31,18.17,$0.71,25.59
2013-12-31,25.62,$0.66,38.82
2013-09-30,21.23,$0.58,36.6
2013-06-30,18.43,$0.60,30.72
2013-03-31,16.02,$0.61,26.26
2012-12-31,13.78,$0.58,23.76
2012-09-30,13.66,$0.52,26.27
2012-06-30,9.87,$0.37,26.68
2012-03-31,8.43,$0.21,40.14
2011-12-31,6.97,$0.07,99.57
2011-09-30,4.08,$0.01,408.0
2011-06-30,5.96,$-0.01,0.0
2011-03-31,6.65,$-0.02,0.0
2010-12-31,4.82,$-0.03,0.0
2010-09-30,3.69,$-0.15,0.0
2010-03-31,4.36,$-0.40,0.0
2009-12-31,3.85,$-0.67,0.0
2009-09-30,3.49,$-0.63,0.0
