ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,92.36,,20.12
2024-06-30,80.58,$4.59,17.56
2024-03-31,78.24,$4.30,18.19
2023-12-31,67.57,$5.55,12.17
2023-09-30,60.15,$5.45,11.04
2023-06-30,57.71,$5.42,10.65
2023-03-31,58.55,$5.30,11.05
2022-12-31,59.71,$3.83,15.59
2022-09-30,45.84,$3.60,12.73
2022-06-30,48.89,$3.52,13.89
2022-03-31,61.31,$3.37,18.19
2021-12-31,50.22,$3.36,14.95
2021-09-30,48.84,$3.20,15.26
2021-06-30,46.03,$3.02,15.24
2021-03-31,41.15,$2.57,16.01
2020-12-31,30.46,$1.37,22.24
2020-09-30,19.98,$1.45,13.78
2020-06-30,24.72,$1.49,16.59
2020-03-31,15.7,$1.92,8.18
2019-12-31,53.79,$2.96,18.17
2019-09-30,51.71,$2.94,17.59
2019-06-30,47.65,$2.88,16.55
2018-12-31,36.4,$2.77,13.14
2018-09-30,45.12,$2.23,20.23
2018-06-30,45.91,$1.81,25.37
2018-03-31,36.94,$1.54,23.98
2017-12-31,34.25,$1.33,25.75
2017-06-30,32.5,$1.60,20.31
2017-03-31,34.15,$1.67,20.45
2016-12-31,34.97,$1.66,21.07
2016-09-30,30.91,$1.35,22.9
2016-06-30,28.16,$1.31,21.49
2016-03-31,17.42,$1.27,13.72
2015-12-31,14.02,$1.16,12.09
2015-09-30,17.98,$1.49,12.07
2015-06-30,21.7,$1.41,15.39
2015-03-31,26.19,$1.34,19.54
2014-12-31,26.64,$1.49,17.88
2014-09-30,34.73,$1.47,23.63
2014-06-30,35.75,$1.46,24.49
2014-03-31,30.84,$1.17,26.36
2013-12-31,28.27,$1.27,22.26
2013-09-30,24.08,$1.37,17.58
2013-06-30,18.52,$1.38,13.42
2013-03-31,21.22,$1.67,12.71
2012-12-31,18.89,$1.71,11.05
2012-09-30,21.2,$1.73,12.29
2012-06-30,18.43,$1.70,10.84
2012-03-31,17.65,$1.67,10.6
2011-12-31,18.61,$1.47,12.7
2011-09-30,14.07,$1.18,11.98
2011-06-30,15.65,$1.09,14.43
2010-12-31,11.54,$1.55,7.45
2010-09-30,9.28,$1.61,5.78
2010-06-30,8.83,$1.95,4.54
2010-03-31,9.23,$1.98,4.67
2009-12-31,8.93,$1.45,6.16
2011-03-31,14.04,$1.60,8.8
2009-09-30,7.25,$1.43,5.07
2009-06-30,5.76,$2.02,2.86
