Primo Water PE Ratio Historical Data,Primo Water PE Ratio Historical Data,Primo Water PE Ratio Historical Data,Primo Water PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.25,,17.25
2024-06-30,21.77,$1.58,13.78
2024-03-31,18.07,$1.61,11.22
2023-12-31,14.85,$1.81,8.2
2023-09-30,13.54,$0.71,19.07
2023-06-30,12.24,$0.36,34.0
2022-12-31,14.99,$0.19,78.91
2022-09-30,12.05,$-0.19,0.0
2022-06-30,12.79,$-0.16,0.0
2022-03-31,13.55,$0.09,150.56
2021-12-31,16.68,$0.08,208.51
2023-03-31,14.89,$0.04,372.22
2021-09-30,14.83,$-0.13,0.0
2021-06-30,15.72,$-0.10,0.0
2021-03-31,15.23,$-0.90,0.0
2020-12-31,14.63,$-0.82,0.0
2020-09-30,13.2,$-0.63,0.0
2020-06-30,12.73,$-0.70,0.0
2020-03-31,8.35,$0.18,46.36
2019-12-31,12.55,$0.02,627.39
2019-09-30,11.39,$-0.03,0.0
2019-06-30,12.13,$-0.03,0.0
2019-03-31,13.22,$0.02,660.75
2018-12-31,12.56,$2.70,4.65
2018-09-30,14.49,$2.81,5.16
2018-06-30,14.8,$3.04,4.87
2018-03-31,13.11,$2.78,4.72
2017-12-31,14.78,$-0.02,0.0
2017-09-30,13.27,$-0.70,0.0
2017-06-30,12.72,$-1.03,0.0
2017-03-31,10.84,$-0.79,0.0
2016-12-31,9.88,$-0.56,0.0
2016-09-30,12.37,$-0.04,0.0
2016-06-30,12.07,$0.03,402.47
2016-03-31,11.96,$-0.01,0.0
2015-12-31,9.42,$0.21,44.86
2015-09-30,9.23,$0.25,36.93
2015-06-30,8.29,$0.15,55.26
2014-12-31,5.76,$0.09,63.99
2014-09-30,5.7,$-0.22,0.0
2014-06-30,5.82,$-0.28,0.0
2014-03-31,6.91,$-0.09,0.0
2013-12-31,6.53,$0.12,54.43
2015-03-31,7.89,$0.24,32.88
2013-09-30,6.15,$0.32,19.21
2013-06-30,6.2,$0.34,18.23
2013-03-31,7.98,$0.43,18.55
2012-12-31,6.29,$0.49,12.84
2012-09-30,6.15,$0.35,17.56
2012-06-30,6.39,$0.37,17.26
2012-03-31,5.13,$0.39,13.15
2011-12-31,4.87,$0.40,12.18
2011-09-30,5.3,$0.68,7.79
2011-06-30,6.54,$0.60,10.9
2011-03-31,6.54,$0.60,10.89
2010-12-31,7.01,$0.67,10.46
2010-09-30,6.11,$0.68,8.98
2010-06-30,4.53,$0.77,5.88
2010-03-31,6.03,$0.97,6.22
2009-12-31,6.38,$1.11,5.75
