Rithm Capital PE Ratio Historical Data,Rithm Capital PE Ratio Historical Data,Rithm Capital PE Ratio Historical Data,Rithm Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.83,,9.1
2024-06-30,10.42,$1.19,8.76
2024-03-31,10.66,$1.50,7.11
2023-12-31,9.98,$1.10,9.07
2023-09-30,8.48,$1.45,5.85
2023-06-30,8.31,$1.31,6.35
2023-03-31,6.93,$0.56,12.37
2022-12-31,6.86,$1.79,3.83
2022-09-30,5.76,$1.95,2.95
2022-06-30,7.34,$1.99,3.69
2022-03-31,8.23,$2.26,3.64
2021-12-31,8.02,$1.54,5.21
2021-09-30,7.87,$1.37,5.75
2021-06-30,7.44,$1.26,5.9
2021-03-31,7.76,$0.98,7.92
2020-12-31,6.86,$-3.53,0.0
2020-09-30,5.28,$-3.18,0.0
2020-06-30,4.87,$-2.83,0.0
2020-03-31,3.25,$-2.89,0.0
2019-12-31,10.45,$1.34,7.8
2019-09-30,9.54,$0.83,11.5
2019-06-30,9.37,$0.83,11.29
2019-03-31,9.68,$1.42,6.82
2018-12-31,8.13,$2.86,2.84
2018-09-30,9.86,$3.79,2.6
2018-06-30,9.41,$3.98,2.36
2018-03-31,8.61,$4.51,1.91
2017-12-31,9.08,$3.12,2.91
2017-09-30,8.27,$3.09,2.68
2017-06-30,7.46,$2.77,2.69
2017-03-31,7.9,$2.03,3.89
2016-12-31,7.11,$2.09,3.4
2016-09-30,6.06,$1.64,3.7
2016-06-30,5.68,$1.47,3.86
2016-03-31,4.77,$1.54,3.1
2015-12-31,4.8,$1.31,3.66
2015-09-30,4.81,$1.24,3.88
2015-06-30,5.59,$1.88,2.97
2015-03-31,5.37,$2.39,2.25
2014-12-31,4.45,$2.52,1.77
2014-09-30,3.95,$2.76,1.43
2014-06-30,4.15,$2.36,1.76
2014-03-31,4.09,$2.34,1.75
