Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,101.56,,19.76
2024-06-30,88.69,$5.14,17.25
2024-03-31,89.3,$5.21,17.14
2023-12-31,88.61,$7.18,12.34
2023-09-30,82.57,$6.75,12.23
2023-06-30,86.48,$6.95,12.44
2023-03-31,90.75,$7.02,12.93
2022-12-31,89.62,$4.67,19.19
2022-09-30,79.93,$4.77,16.76
2022-06-30,87.94,$4.57,19.24
2022-03-31,86.84,$4.33,20.05
2021-12-31,77.5,$3.85,20.13
2021-09-30,65.28,$3.35,19.49
2021-06-30,63.86,$3.30,19.35
2021-03-31,65.95,$3.39,19.45
2020-12-31,63.02,$3.29,19.15
2020-09-30,67.19,$4.04,16.63
2020-06-30,61.48,$3.99,15.41
2020-03-31,65.96,$3.88,17.0
2019-12-31,75.89,$4.07,18.65
2019-09-30,78.58,$4.24,18.53
2019-06-30,72.31,$4.21,17.18
2019-03-31,69.34,$4.35,15.94
2018-12-31,61.93,$4.41,14.04
2018-09-30,61.16,$4.98,12.28
2018-06-30,62.03,$5.07,12.24
2018-03-31,61.41,$5.04,12.19
2017-12-31,66.32,$4.94,13.43
2017-09-30,62.5,$4.00,15.63
2017-06-30,62.09,$4.14,15.0
2017-03-31,59.15,$4.34,13.63
2016-12-31,55.6,$4.12,13.5
2016-09-30,56.28,$4.04,13.93
2016-06-30,59.6,$3.87,15.4
2016-03-31,56.26,$3.84,14.65
2015-12-31,46.75,$4.05,11.54
2015-09-30,48.13,$3.73,12.9
2015-06-30,41.27,$3.76,10.98
2015-03-31,43.04,$3.74,11.51
2014-12-31,46.1,$3.71,12.43
2014-09-30,39.18,$4.22,9.29
2014-06-30,39.49,$4.32,9.14
2014-03-31,36.27,$4.18,8.68
2013-12-31,36.94,$3.60,10.26
2013-09-30,36.46,$3.51,10.39
2013-06-30,38.16,$3.42,11.16
2013-03-31,39.53,$3.57,11.07
2012-12-31,35.59,$3.86,9.22
2012-09-30,37.97,$3.81,9.96
2012-06-30,39.05,$3.62,10.79
2012-03-31,36.31,$3.45,10.53
2011-12-31,38.16,$3.57,10.69
2011-09-30,34.72,$3.72,9.33
2011-06-30,32.07,$3.66,8.76
2011-03-31,30.21,$3.75,8.06
2010-12-31,29.17,$3.49,8.36
2010-09-30,28.04,$3.42,8.2
2010-06-30,24.74,$3.40,7.28
2010-03-31,25.24,$3.30,7.65
2009-12-31,25.38,$3.16,8.03
