Integra LifeSciences Holdings PE Ratio Historical Data,Integra LifeSciences Holdings PE Ratio Historical Data,Integra LifeSciences Holdings PE Ratio Historical Data,Integra LifeSciences Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.76,,68.14
2024-06-30,29.14,$0.29,100.48
2024-03-31,35.45,$0.50,70.9
2023-12-31,43.55,$0.83,52.47
2023-09-30,38.19,$1.21,31.56
2023-06-30,41.13,$1.57,26.2
2023-03-31,57.41,$2.06,27.87
2022-12-31,56.07,$2.16,25.96
2022-09-30,42.36,$2.06,20.56
2022-06-30,54.03,$1.97,27.43
2022-03-31,64.26,$1.84,34.92
2021-12-31,66.99,$1.98,33.83
2021-09-30,68.48,$2.54,26.96
2021-06-30,68.24,$2.41,28.32
2021-03-31,69.09,$2.00,34.55
2020-12-31,64.92,$1.58,41.09
2020-09-30,47.22,$0.67,70.48
2020-06-30,46.99,$-0.03,0.0
2020-03-31,44.67,$0.31,144.1
2019-12-31,58.28,$0.58,100.48
2019-09-30,60.07,$0.69,87.06
2019-06-30,55.85,$1.16,48.15
2019-03-31,55.72,$0.96,58.04
2018-12-31,45.1,$0.72,62.64
2018-09-30,65.87,$0.99,66.54
2018-06-30,64.41,$0.88,73.19
2018-03-31,55.34,$0.88,62.89
2017-12-31,47.86,$0.82,58.37
2017-09-30,50.48,$0.61,82.75
2017-06-30,54.51,$0.82,66.48
2017-03-31,42.13,$0.84,50.15
2016-12-31,42.9,$0.92,46.88
2016-09-30,41.28,$0.76,54.31
2016-06-30,39.89,$0.06,664.83
2016-03-31,33.68,$-0.03,0.0
2015-12-31,33.89,$-0.06,0.0
2015-09-30,29.78,$0.01,2978.0
2015-06-30,30.59,$0.61,50.15
2015-03-31,28.0,$0.61,45.89
2014-12-31,24.63,$0.52,47.36
2014-09-30,22.54,$0.46,49.0
2014-06-30,21.37,$-0.20,0.0
2014-03-31,20.88,$-0.22,0.0
2013-12-31,21.67,$-0.33,0.0
2013-09-30,18.28,$-0.30,0.0
2013-06-30,16.63,$0.45,37.38
2013-03-31,17.71,$0.54,33.11
2012-12-31,17.7,$0.73,24.41
2012-09-30,18.66,$0.58,32.46
2012-06-30,16.88,$0.54,31.27
2012-03-31,15.75,$0.40,39.38
2011-12-31,14.0,$0.48,29.47
2011-09-30,16.24,$0.71,22.88
2011-06-30,21.71,$0.79,27.48
2011-03-31,21.53,$1.03,20.91
2010-12-31,21.48,$1.09,19.71
2010-09-30,17.92,$1.04,17.23
2010-06-30,16.8,$1.01,16.64
2010-03-31,19.9,$0.95,20.95
2009-12-31,16.74,$0.86,19.47
