ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,113.79,,12.69
2024-06-30,113.57,$8.97,12.66
2024-03-31,125.38,$8.83,14.2
2023-12-31,113.54,$9.06,12.53
2023-09-30,116.6,$9.15,12.74
2023-06-30,99.91,$10.38,9.63
2023-03-31,94.62,$12.50,7.57
2022-12-31,111.35,$14.51,7.67
2022-09-30,95.64,$13.88,6.89
2022-06-30,82.42,$12.11,6.81
2022-03-31,90.69,$9.70,9.35
2021-12-31,64.95,$6.06,10.72
2021-09-30,60.44,$3.36,17.99
2021-06-30,53.89,$1.16,46.46
2021-03-31,46.51,$-0.15,0.0
2020-12-31,34.79,$-2.50,0.0
2020-09-30,28.21,$-1.13,0.0
2020-06-30,35.72,$2.03,17.6
2020-03-31,25.93,$3.19,8.13
2019-12-31,54.36,$6.39,8.51
2019-09-30,47.26,$7.35,6.43
2019-06-30,50.34,$6.20,8.12
2019-03-31,54.81,$6.19,8.85
2018-12-31,50.97,$5.34,9.55
2018-09-30,63.01,$5.05,12.48
2018-06-30,56.45,$3.80,14.86
2018-03-31,47.88,$-0.37,0.0
2017-12-31,44.08,$-0.50,0.0
2017-09-30,39.98,$-1.85,0.0
2017-06-30,34.9,$-3.03,0.0
2017-03-31,39.37,$-1.11,0.0
2016-12-31,39.38,$-2.91,0.0
2016-09-30,33.94,$-5.66,0.0
2016-06-30,33.84,$-5.69,0.0
2016-03-31,31.07,$-4.98,0.0
2015-12-31,35.75,$-3.58,0.0
2015-09-30,36.23,$-0.83,0.0
2015-06-30,45.77,$2.21,20.71
2015-03-31,45.88,$4.03,11.39
2014-12-31,50.35,$5.52,9.12
2014-09-30,55.23,$7.55,7.32
2014-06-30,61.35,$7.38,8.31
2014-03-31,49.9,$7.36,6.78
2013-12-31,49.59,$7.38,6.72
2013-09-30,48.32,$6.54,7.39
2013-06-30,41.62,$6.00,6.94
2013-03-31,40.91,$6.15,6.65
2012-12-31,39.03,$6.69,5.83
2012-09-30,38.04,$8.09,4.7
2012-06-30,36.75,$8.54,4.3
2012-03-31,37.92,$9.15,4.14
2011-12-31,36.03,$8.97,4.02
2011-09-30,31.0,$7.80,3.97
2011-06-30,36.49,$7.94,4.6
2011-03-31,38.41,$8.30,4.63
2010-12-31,32.47,$7.61,4.27
2010-09-30,27.14,$7.03,3.86
2010-06-30,22.96,$5.98,3.84
2010-03-31,23.68,$4.08,5.8
2009-12-31,23.4,$3.24,7.22
