Worthington Enterprises PE Ratio Historical Data,Worthington Enterprises PE Ratio Historical Data,Worthington Enterprises PE Ratio Historical Data,Worthington Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.66,,54.82
2024-08-31,45.63,$0.76,60.04
2024-05-31,56.64,$2.21,25.63
2024-02-29,61.53,$5.47,11.25
2023-11-30,71.02,$5.97,11.9
2023-08-31,73.87,$5.81,12.71
2023-05-31,54.81,$5.18,10.58
2023-02-28,58.69,$4.18,14.04
2022-11-30,54.78,$4.35,12.59
2022-08-31,48.92,$6.17,7.93
2022-05-31,44.45,$7.42,5.99
2022-02-28,54.08,$7.96,6.79
2021-11-30,45.26,$8.12,5.57
2021-08-31,54.38,$4.57,11.9
2021-05-31,62.0,$13.24,4.68
2021-02-28,59.48,$11.38,5.23
2020-11-30,47.92,$10.38,4.62
2020-08-31,38.23,$12.71,3.01
2020-05-31,27.34,$1.40,19.53
2020-02-29,28.75,$1.77,16.24
2019-11-30,34.43,$1.96,17.56
2019-08-31,31.0,$1.60,19.37
2019-05-31,30.31,$2.60,11.66
2019-02-28,34.68,$2.44,14.21
2018-11-30,36.32,$3.25,11.18
2018-08-31,40.63,$3.30,12.31
2018-05-31,41.65,$3.09,13.48
2018-02-28,38.25,$3.46,11.05
2017-11-30,35.78,$2.74,13.06
2017-08-31,42.8,$2.84,15.07
2017-05-31,35.79,$3.16,11.33
2017-02-28,41.67,$3.21,12.98
2016-11-30,47.64,$3.12,15.27
2016-08-31,36.13,$2.76,13.09
2016-05-31,31.31,$2.22,14.1
2016-02-29,25.93,$1.74,14.9
2015-11-30,25.47,$0.89,28.62
2015-08-31,21.02,$0.96,21.89
2015-05-31,22.2,$1.11,20.0
2015-02-28,21.88,$1.14,19.19
2014-11-30,30.41,$2.10,14.48
2014-08-31,32.46,$1.99,16.31
2014-05-31,32.23,$2.12,15.2
2014-02-28,31.76,$2.11,15.05
2013-11-30,33.29,$2.06,16.16
2013-08-31,26.34,$2.19,12.03
2013-05-31,27.17,$1.92,14.15
2013-02-28,22.4,$2.21,10.14
2012-11-30,18.33,$2.06,8.9
2012-08-31,16.17,$1.88,8.6
2012-05-31,12.48,$1.74,7.17
2012-02-29,12.87,$1.69,7.61
2011-11-30,13.32,$1.67,7.97
2011-08-31,12.2,$1.60,7.63
2011-05-31,16.31,$1.55,10.52
2011-02-28,14.38,$1.27,11.33
2010-11-30,11.83,$0.70,16.91
2010-08-31,10.44,$0.79,13.21
2010-05-31,10.73,$0.57,18.82
2010-02-28,11.48,$-0.02,0.0
2009-11-30,8.42,$0.22,38.25
