HCI PE Ratio Historical Data,HCI PE Ratio Historical Data,HCI PE Ratio Historical Data,HCI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,116.77,,9.13
2024-06-30,91.79,$12.79,7.18
2024-03-31,115.14,$9.83,11.71
2023-12-31,86.34,$7.56,11.42
2023-09-30,53.37,$4.34,12.3
2023-06-30,60.3,$-2.66,0.0
2023-03-31,51.95,$-4.98,0.0
2022-12-31,38.07,$-6.43,0.0
2022-09-30,37.3,$-6.60,0.0
2022-06-30,64.03,$-1.66,0.0
2022-03-31,64.03,$-0.38,0.0
2021-12-31,77.96,$0.28,278.43
2021-09-30,103.04,$0.62,166.2
2021-06-30,92.14,$3.04,30.31
2021-03-31,70.82,$3.88,18.25
2020-12-31,47.89,$3.20,14.97
2020-09-30,44.79,$3.67,12.2
2020-06-30,41.66,$2.70,15.43
2020-03-31,35.95,$2.52,14.27
2019-12-31,40.42,$3.27,12.36
2019-09-30,36.9,$1.50,24.6
2019-06-30,35.52,$1.77,20.07
2019-03-31,37.15,$1.79,20.75
2018-12-31,43.8,$2.08,21.06
2018-09-30,37.45,$4.17,8.98
2018-06-30,35.26,$-1.27,0.0
2018-03-31,32.09,$-1.26,0.0
2017-12-31,24.89,$-1.22,0.0
2017-09-30,31.48,$-1.89,0.0
2017-06-30,38.33,$3.65,10.5
2017-03-31,36.89,$3.43,10.76
2016-12-31,31.71,$2.88,11.01
2016-09-30,24.15,$3.46,6.98
2016-06-30,21.49,$3.07,7.0
2016-03-31,26.0,$4.29,6.06
2015-12-31,26.97,$5.90,4.57
2015-09-30,29.78,$6.15,4.84
2015-06-30,33.71,$6.67,5.05
2015-03-31,34.75,$6.13,5.67
2014-12-31,32.55,$5.36,6.07
2014-09-30,26.9,$5.37,5.01
2014-06-30,30.15,$5.27,5.72
2014-03-31,26.84,$5.28,5.08
2013-12-31,39.19,$5.65,6.94
2013-09-30,29.74,$5.53,5.38
2013-06-30,22.22,$4.67,4.76
2013-03-31,19.57,$4.01,4.88
2012-12-31,14.78,$3.08,4.8
2012-09-30,16.43,$2.51,6.54
2012-06-30,12.18,$2.51,4.85
2012-03-31,8.68,$2.09,4.15
2011-12-31,5.4,$1.33,4.06
2011-09-30,4.23,$0.98,4.31
2011-06-30,4.3,$0.96,4.48
2011-03-31,5.21,$0.83,6.28
2010-12-31,5.09,$0.81,6.28
2010-09-30,3.95,$0.65,6.08
2010-06-30,3.55,$0.51,6.96
2010-03-31,3.95,$0.74,5.34
2009-12-31,4.74,$1.51,3.14
