Silicon Motion Technology PE Ratio Historical Data,Silicon Motion Technology PE Ratio Historical Data,Silicon Motion Technology PE Ratio Historical Data,Silicon Motion Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.21,,24.02
2024-06-30,80.33,$2.34,34.33
2024-03-31,75.83,$1.76,43.08
2023-12-31,59.95,$1.58,37.94
2023-09-30,49.72,$1.66,29.95
2023-06-30,69.71,$2.63,26.51
2023-03-31,63.56,$3.85,16.51
2022-12-31,63.04,$5.15,12.24
2022-09-30,63.24,$6.17,10.25
2022-06-30,80.69,$6.46,12.49
2022-03-31,64.07,$6.33,10.12
2021-12-31,90.52,$5.71,15.85
2021-09-30,65.24,$4.02,16.23
2021-06-30,60.36,$3.14,19.22
2021-03-31,55.64,$2.52,22.08
2020-12-31,44.86,$2.28,19.67
2020-09-30,34.85,$2.97,11.74
2020-06-30,44.6,$2.39,18.66
2020-03-31,33.25,$2.34,14.21
2019-12-31,45.66,$1.83,24.95
2019-09-30,31.56,$1.58,19.98
2019-06-30,39.63,$2.27,17.46
2019-03-31,35.39,$2.37,14.93
2018-12-31,30.58,$2.41,12.69
2018-09-30,47.22,$2.42,19.51
2018-06-30,46.27,$2.28,20.29
2017-12-31,45.73,$2.08,21.98
2017-09-30,41.21,$2.54,16.23
2017-06-30,41.19,$2.97,13.87
2017-03-31,39.77,$3.12,12.75
2016-12-31,35.96,$3.12,11.53
2016-09-30,43.63,$2.77,15.75
2016-06-30,40.16,$2.49,16.13
2016-03-31,32.48,$2.10,15.47
2015-12-31,26.12,$1.98,13.19
2018-03-31,41.83,$2.04,20.5
2015-09-30,22.64,$1.75,12.94
2015-06-30,28.52,$1.73,16.49
2015-03-31,22.04,$1.61,13.69
2014-12-31,19.3,$1.28,15.07
2014-09-30,21.84,$1.09,20.04
2014-06-30,16.46,$0.97,16.97
2014-03-31,13.4,$0.78,17.17
2013-12-31,11.2,$0.81,13.82
2013-09-30,10.21,$0.88,11.6
2013-06-30,8.18,$1.05,7.79
2013-03-31,8.92,$1.15,7.76
2012-12-31,10.72,$1.40,7.66
2012-09-30,11.14,$1.54,7.23
2012-06-30,10.64,$1.64,6.49
2012-03-31,14.6,$1.46,10.0
2011-12-31,15.44,$1.28,12.06
2011-09-30,8.71,$0.72,12.1
2011-06-30,8.08,$0.17,47.54
2011-03-31,6.09,$0.10,60.91
2010-12-31,3.2,$-0.19,0.0
2010-09-30,4.11,$-0.62,0.0
2010-06-30,3.9,$-0.79,0.0
2010-03-31,3.37,$-1.08,0.0
2009-12-31,2.57,$-1.05,0.0
