Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,31.2,,42.74
2024-05-31,29.54,$0.73,40.46
2024-02-29,27.45,$1.99,13.79
2023-11-30,27.33,$2.06,13.27
2023-08-31,28.49,$2.25,12.66
2023-05-31,32.9,$1.42,23.17
2023-02-28,34.06,$1.67,20.39
2022-11-30,35.21,$1.41,24.97
2022-08-31,31.58,$1.19,26.54
2022-05-31,29.92,$1.84,16.26
2022-02-28,31.54,$2.15,14.67
2021-11-30,27.31,$2.28,11.98
2021-08-31,29.33,$2.48,11.82
2021-05-31,33.42,$2.66,12.56
2021-02-28,29.54,$2.43,12.16
2020-11-30,31.58,$2.27,13.91
2020-08-31,32.88,$2.03,16.2
2020-05-31,29.65,$1.72,17.24
2020-02-29,22.61,$1.57,14.4
2019-11-30,24.3,$1.65,14.73
2019-08-31,23.69,$1.43,16.56
2019-05-31,22.19,$1.52,14.6
2019-02-28,19.24,$1.44,13.36
2018-11-30,26.63,$1.84,14.47
2018-08-31,30.08,$2.07,14.53
2018-05-31,30.16,$1.98,15.23
2018-02-28,29.23,$2.16,13.53
2017-11-30,30.04,$1.67,17.99
2017-08-31,26.12,$1.41,18.52
2017-05-31,30.82,$1.47,20.97
2017-02-28,32.79,$1.38,23.76
2016-11-30,29.04,$1.43,20.31
2016-08-31,28.47,$1.50,18.98
2016-05-31,27.76,$-1.77,0.0
2016-02-29,25.41,$-1.56,0.0
2015-11-30,24.57,$-4.25,0.0
2015-08-31,24.87,$-4.58,0.0
2015-05-31,22.9,$-0.61,0.0
2015-02-28,20.61,$-1.86,0.0
2014-11-30,21.37,$0.92,23.23
2014-08-31,18.71,$1.48,12.64
2014-05-31,18.61,$0.70,26.59
2014-02-28,16.23,$1.92,8.46
2013-11-30,18.71,$1.66,11.27
2013-08-31,19.03,$1.59,11.97
2013-05-31,18.83,$1.86,10.12
2013-02-28,18.93,$1.20,15.78
2012-11-30,16.45,$1.56,10.54
2012-08-31,13.71,$1.46,9.39
2012-05-31,13.59,$1.05,12.94
2012-02-29,14.06,$1.87,7.52
2011-11-30,13.41,$1.72,7.79
2011-08-31,12.84,$1.76,7.29
2011-05-31,13.25,$1.89,7.01
2011-02-28,11.96,$1.48,8.08
2010-11-30,10.98,$1.49,7.37
2010-08-31,10.92,$1.58,6.91
2010-05-31,12.13,$1.62,7.49
2010-02-28,12.17,$1.81,6.72
2009-11-30,10.95,$1.73,6.33
