Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,102.37,,13.78
2024-06-30,97.97,$7.43,13.19
2024-03-31,99.41,$7.76,12.81
2023-12-31,88.31,$7.49,11.79
2023-09-30,74.74,$4.89,15.29
2023-06-30,80.76,$5.86,13.78
2023-03-31,80.58,$5.62,14.34
2022-12-31,77.08,$6.30,12.23
2022-09-30,66.64,$9.10,7.32
2022-06-30,83.42,$9.21,9.06
2022-03-31,103.32,$6.11,16.91
2021-12-31,110.68,$6.30,17.57
2021-09-30,91.62,$3.72,24.63
2021-06-30,105.48,$2.33,45.27
2021-03-31,98.93,$3.60,27.48
2020-12-31,89.57,$3.50,25.59
2020-09-30,69.3,$3.46,20.03
2020-06-30,61.28,$4.21,14.55
2020-03-31,40.6,$5.86,6.93
2019-12-31,68.11,$5.46,12.48
2019-09-30,62.92,$5.51,11.42
2019-06-30,65.79,$6.47,10.17
2019-03-31,63.59,$7.01,9.07
2018-12-31,60.8,$7.52,8.08
2018-09-30,78.92,$11.29,6.99
2018-06-30,81.94,$10.62,7.72
2018-03-31,86.1,$10.23,8.42
2017-12-31,75.15,$9.10,8.26
2017-09-30,72.96,$6.65,10.97
2017-06-30,67.31,$6.14,10.96
2016-12-31,59.52,$5.83,10.21
2016-09-30,53.21,$5.79,9.19
2016-06-30,53.0,$6.12,8.66
2016-03-31,56.03,$6.12,9.15
2015-12-31,52.03,$6.41,8.12
2017-03-31,64.37,$6.72,9.58
2015-09-30,49.55,$4.94,10.03
2015-06-30,62.29,$4.62,13.48
2015-03-31,52.46,$4.57,11.48
2014-12-31,57.13,$4.95,11.54
2014-09-30,60.6,$7.06,8.58
2014-06-30,65.17,$7.64,8.53
2014-03-31,64.06,$7.40,8.66
2013-12-31,59.72,$7.45,8.02
2013-09-30,57.38,$4.88,11.76
2013-06-30,51.37,$3.90,13.17
2013-03-31,51.05,$3.48,14.67
2012-12-31,49.51,$3.03,16.34
2012-09-30,41.29,$4.09,10.09
2012-06-30,36.31,$4.26,8.52
2012-03-31,37.05,$4.45,8.34
2011-12-31,27.86,$4.85,5.75
2011-09-30,24.27,$4.26,5.7
2011-06-30,35.89,$4.27,8.41
2011-03-31,34.76,$3.82,9.1
2010-12-31,29.28,$2.99,9.81
2010-09-30,25.62,$2.64,9.7
2010-06-30,18.35,$2.17,8.48
2010-03-31,21.74,$1.60,13.59
2009-12-31,20.42,$0.93,21.96
