TD SYNNEX PE Ratio Historical Data,TD SYNNEX PE Ratio Historical Data,TD SYNNEX PE Ratio Historical Data,TD SYNNEX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,123.51,,15.98
2024-08-31,121.01,$7.73,15.65
2024-05-31,129.94,$7.14,18.2
2024-02-29,102.83,$6.89,14.92
2023-11-30,97.25,$6.71,14.49
2023-08-31,99.94,$6.02,16.6
2023-05-31,87.48,$5.77,15.16
2023-02-28,94.12,$6.17,15.25
2022-02-28,98.0,$6.20,15.81
2021-11-30,99.29,$6.52,15.23
2021-08-31,121.72,$9.42,12.92
2021-05-31,121.06,$9.92,12.2
2021-02-28,85.12,$10.74,7.93
2020-11-30,74.4,$10.15,7.33
2022-11-30,99.43,$8.37,11.88
2020-08-31,59.01,$9.47,6.23
2020-05-31,49.5,$9.27,5.34
2020-02-29,58.03,$10.40,5.58
2019-11-30,56.84,$9.73,5.84
2019-08-31,38.66,$8.73,4.43
2019-05-31,39.84,$8.07,4.94
2019-02-28,44.92,$8.18,5.49
2018-11-30,36.82,$7.10,5.19
2018-08-31,44.01,$6.95,6.33
2018-05-31,48.32,$7.08,6.82
2018-02-28,55.74,$6.57,8.48
2017-11-30,61.24,$7.50,8.17
2017-08-31,53.66,$7.37,7.28
2017-05-31,49.81,$7.05,7.06
2017-02-28,52.22,$6.69,7.8
2016-11-30,52.11,$6.26,8.32
2022-08-31,93.25,$5.30,17.59
2016-08-31,47.21,$5.31,8.89
2016-05-31,40.43,$5.06,7.99
2016-02-29,41.63,$5.25,7.93
2015-11-30,41.64,$5.24,7.95
2015-08-31,34.9,$5.12,6.82
2015-05-31,36.37,$5.05,7.2
2015-02-28,33.49,$4.76,7.04
2014-11-30,31.33,$4.61,6.8
2014-08-31,30.52,$4.27,7.15
2014-05-31,28.93,$3.31,8.74
2014-02-28,26.03,$3.11,8.37
2013-11-30,28.96,$2.98,9.72
2013-08-31,20.79,$3.04,6.84
2013-05-31,17.75,$3.78,4.7
2013-02-28,16.69,$3.87,4.31
2012-11-30,14.45,$4.01,3.6
2012-08-31,15.11,$4.22,3.58
2012-05-31,14.6,$4.36,3.35
2012-02-29,18.04,$4.31,4.19
2011-11-30,12.85,$4.84,2.65
2011-08-31,11.53,$4.27,2.7
2011-05-31,14.33,$4.24,3.38
2022-05-31,100.25,$4.25,23.59
2011-02-28,15.44,$3.40,4.54
2010-11-30,12.54,$3.58,3.5
2010-08-31,10.09,$3.41,2.96
2010-05-31,11.7,$3.22,3.63
2010-02-28,12.53,$3.09,4.06
2009-11-30,12.39,$2.70,4.59
