Box PE Ratio Historical Data,Box PE Ratio Historical Data,Box PE Ratio Historical Data,Box PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.84,,41.57
2024-07-31,28.12,$0.79,35.59
2024-04-30,26.02,$0.73,35.64
2024-01-31,25.98,$0.67,38.78
2023-10-31,24.86,$0.20,124.3
2023-07-31,31.25,$0.19,164.47
2023-04-30,26.46,$0.13,203.54
2023-01-31,31.99,$0.05,639.8
2022-10-31,29.05,$-0.11,0.0
2022-07-31,28.44,$-0.26,0.0
2022-04-30,30.62,$-0.32,0.0
2022-01-31,26.13,$-0.35,0.0
2021-10-31,25.83,$-0.32,0.0
2021-07-31,23.92,$-0.23,0.0
2021-04-30,21.3,$-0.20,0.0
2021-01-31,17.34,$-0.28,0.0
2020-10-31,15.5,$-0.45,0.0
2020-07-31,17.95,$-0.70,0.0
2020-04-30,16.14,$-0.90,0.0
2020-01-31,15.03,$-0.98,0.0
2019-10-31,16.92,$-0.92,0.0
2019-07-31,16.54,$-0.92,0.0
2019-04-30,20.62,$-0.94,0.0
2019-01-31,20.92,$-0.95,0.0
2018-10-31,18.0,$-1.05,0.0
2018-07-31,23.96,$-1.09,0.0
2018-04-30,22.86,$-1.12,0.0
2018-01-31,22.24,$-1.16,0.0
2017-10-31,21.95,$-1.20,0.0
2017-07-31,18.85,$-1.18,0.0
2017-04-30,17.24,$-1.18,0.0
2017-01-31,17.07,$-1.19,0.0
2016-10-31,14.42,$-1.32,0.0
2016-07-31,11.65,$-1.47,0.0
2016-04-30,12.93,$-1.59,0.0
2016-01-31,10.76,$-1.68,0.0
2015-10-31,12.48,$-3.91,0.0
