Select Medical Holdings PE Ratio Historical Data,Select Medical Holdings PE Ratio Historical Data,Select Medical Holdings PE Ratio Historical Data,Select Medical Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.29,,16.41
2024-06-30,34.92,$2.09,16.71
2024-03-31,29.93,$2.10,14.25
2023-12-31,23.22,$1.91,12.16
2023-09-30,24.83,$1.77,14.03
2023-06-30,31.17,$1.60,19.48
2023-03-31,25.18,$1.42,17.73
2022-12-31,24.07,$1.23,19.57
2022-09-30,21.32,$1.38,15.45
2022-06-30,22.68,$1.74,13.04
2022-03-31,22.92,$2.53,9.06
2021-12-31,27.94,$2.98,9.38
2021-09-30,34.25,$3.18,10.77
2021-06-30,39.87,$3.18,12.54
2021-03-31,32.07,$2.35,13.65
2020-12-31,26.01,$1.93,13.48
2020-09-30,19.58,$1.60,12.24
2020-06-30,13.85,$1.26,10.99
2020-03-31,14.11,$1.20,11.76
2019-12-31,21.95,$1.10,19.95
2019-09-30,15.58,$1.04,14.98
2019-06-30,14.92,$1.05,14.21
2019-03-31,13.25,$1.07,12.38
2018-12-31,14.44,$1.02,14.15
2018-09-30,17.3,$1.59,10.88
2018-06-30,17.07,$1.49,11.46
2018-03-31,16.22,$1.46,11.11
2017-12-31,16.6,$1.33,12.48
2017-09-30,18.06,$0.73,24.73
2017-06-30,14.44,$0.64,22.56
2017-03-31,12.55,$0.58,21.65
2016-12-31,12.46,$0.88,14.16
2016-09-30,12.7,$0.95,13.36
2016-06-30,10.22,$1.12,9.13
2016-03-31,11.11,$1.14,9.74
2015-12-31,11.2,$0.99,11.31
2015-09-30,10.15,$0.97,10.46
2015-06-30,15.23,$0.95,16.04
2015-03-31,13.95,$0.94,14.84
2014-12-31,13.44,$0.91,14.77
2014-09-30,11.15,$0.92,12.12
2014-06-30,14.35,$0.89,16.13
2014-03-31,11.37,$0.82,13.87
2013-12-31,10.51,$0.82,12.82
2013-09-30,7.22,$0.89,8.11
2013-06-30,7.25,$0.89,8.15
2013-03-31,7.86,$1.00,7.86
2012-12-31,8.24,$1.05,7.85
2012-09-30,8.52,$1.02,8.35
2012-06-30,7.67,$1.02,7.52
2012-03-31,5.83,$0.79,7.38
2011-12-31,6.43,$0.72,8.93
2011-09-30,5.06,$0.60,8.43
2011-06-30,6.73,$0.48,14.01
2011-03-31,6.11,$0.55,11.11
2010-12-31,5.54,$0.48,11.55
2010-09-30,5.84,$0.54,10.81
2010-06-30,5.14,$0.40,12.85
