Disc Medicine PE Ratio Historical Data,Disc Medicine PE Ratio Historical Data,Disc Medicine PE Ratio Historical Data,Disc Medicine PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.49,,0.0
2024-06-30,45.07,$-3.67,0.0
2024-03-31,62.26,$-3.38,0.0
2023-12-31,57.76,$-3.49,0.0
2023-09-30,46.98,$-2.52,0.0
2023-06-30,44.4,$-2.74,0.0
2023-03-31,21.19,$-3.60,0.0
2022-12-31,19.89,$-5.90,0.0
2022-09-30,1.64,$-10.00,0.0
2022-06-30,1.69,$-13.50,0.0
2022-03-31,1.39,$-15.70,0.0
2021-12-31,2.91,$-18.10,0.0
2021-09-30,4.04,$-14.00,0.0
2021-06-30,6.47,$-9.70,0.0
