Greenbrier PE Ratio Historical Data,Greenbrier PE Ratio Historical Data,Greenbrier PE Ratio Historical Data,Greenbrier PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.64,,13.78
2024-05-31,54.92,$3.82,14.38
2024-02-29,51.14,$3.40,15.04
2023-11-30,37.02,$3.34,11.08
2023-08-31,41.44,$1.87,22.16
2023-05-31,26.27,$1.70,15.45
2023-02-28,30.75,$1.15,26.74
2022-11-30,36.41,$0.56,65.02
2022-08-31,26.85,$1.39,19.32
2022-05-31,38.86,$1.74,22.33
2022-02-28,41.24,$2.24,18.41
2021-11-30,36.86,$1.58,23.33
2021-08-31,40.4,$0.96,42.08
2021-05-31,40.42,$0.01,0.0
2021-02-28,42.55,$0.25,170.2
2020-11-30,29.95,$0.94,31.87
2020-08-31,24.18,$1.47,16.45
2020-05-31,18.68,$2.53,7.38
2020-02-29,20.98,$2.16,9.71
2019-11-30,24.1,$1.83,13.17
2019-08-31,19.79,$2.14,9.25
2019-05-31,22.91,$2.02,11.34
2019-02-28,34.49,$2.57,13.42
2018-11-30,40.9,$4.40,9.29
2018-08-31,48.24,$4.69,10.29
2018-05-31,41.15,$4.50,9.14
2018-02-28,42.65,$4.52,9.43
2017-11-30,40.98,$3.70,11.08
2017-08-31,34.99,$3.66,9.56
2017-05-31,35.9,$3.97,9.04
2017-02-28,33.95,$4.06,8.36
2016-11-30,31.18,$4.38,7.12
2016-08-31,27.06,$5.74,4.71
2016-05-31,22.76,$6.70,3.4
2016-02-29,20.06,$6.91,2.9
2015-11-30,26.46,$7.07,3.74
2015-08-31,32.39,$5.93,5.46
2015-05-31,46.64,$5.34,8.73
2015-02-28,45.4,$5.04,9.01
2014-11-30,42.73,$3.97,10.76
2014-08-31,54.95,$3.45,15.93
2014-05-31,42.55,$2.66,15.99
2014-02-28,32.25,$-0.47,0.0
2013-11-30,23.96,$-0.52,0.0
2013-08-31,17.3,$-0.66,0.0
2013-05-31,17.98,$-1.04,0.0
2013-02-28,15.52,$1.67,9.3
2012-11-30,14.65,$1.79,8.18
2012-08-31,11.08,$1.92,5.77
2012-05-31,10.61,$2.08,5.1
2012-02-29,19.38,$1.33,14.57
2011-11-30,17.02,$0.74,23.0
2011-08-31,13.32,$0.59,22.58
2011-05-31,19.98,$0.40,49.94
2011-02-28,19.15,$0.26,73.65
2010-08-31,8.95,$0.09,99.4
2010-05-31,10.97,$0.13,84.38
2010-02-28,7.04,$-0.21,0.0
2009-11-30,8.23,$-2.93,0.0
2009-08-31,9.87,$-3.15,0.0
