Hillenbrand Inc PE Ratio Historical Data,Hillenbrand Inc PE Ratio Historical Data,Hillenbrand Inc PE Ratio Historical Data,Hillenbrand Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.4,,0.0
2024-06-30,39.69,$-2.94,0.0
2024-03-31,49.61,$1.21,41.0
2023-12-31,46.98,$7.72,6.09
2023-09-30,41.33,$8.13,5.08
2023-06-30,49.85,$8.68,5.74
2023-03-31,46.01,$8.74,5.26
2022-12-31,41.1,$2.88,14.27
2022-09-30,35.21,$2.90,12.14
2022-06-30,39.06,$2.83,13.8
2022-03-31,41.9,$2.68,15.63
2021-12-31,49.08,$2.97,16.53
2021-09-30,40.08,$3.31,12.11
2021-06-30,41.22,$2.48,16.62
2021-03-31,44.4,$2.27,19.56
2020-12-31,36.88,$0.25,147.52
2020-09-30,26.13,$-0.81,0.0
2020-06-30,24.76,$-0.33,0.0
2020-03-31,17.34,$-0.17,0.0
2019-12-31,29.85,$1.42,21.02
2019-09-30,27.5,$1.92,14.32
2019-06-30,35.0,$2.23,15.69
2019-03-31,36.54,$2.31,15.82
2018-12-31,33.21,$1.37,24.24
2018-09-30,45.55,$1.20,37.96
2018-06-30,40.9,$1.10,37.18
2018-03-31,39.64,$1.06,37.4
2017-12-31,38.43,$1.92,20.02
2017-09-30,33.25,$1.98,16.79
2017-06-30,30.72,$1.94,15.83
2017-03-31,30.34,$1.90,15.97
2016-12-31,32.27,$1.79,18.03
2016-09-30,26.48,$1.76,15.05
2016-06-30,24.97,$1.50,16.65
2016-03-31,24.74,$1.52,16.27
2015-12-31,24.3,$1.59,15.28
2015-09-30,21.18,$1.74,12.17
2015-06-30,24.81,$1.81,13.71
2015-03-31,24.79,$1.82,13.62
2014-12-31,27.52,$1.85,14.87
2014-09-30,24.48,$1.71,14.32
2014-06-30,25.69,$1.71,15.03
2014-03-31,25.31,$1.41,17.95
2013-12-31,22.88,$1.10,20.8
2013-09-30,21.14,$1.01,20.93
2013-06-30,18.18,$1.04,17.48
2013-03-31,19.23,$1.17,16.43
2012-12-31,17.06,$1.41,12.1
2012-09-30,13.6,$1.68,8.1
2012-06-30,13.61,$1.66,8.2
2012-03-31,16.81,$1.68,10.01
2011-12-31,16.21,$1.77,9.16
2011-09-30,13.24,$1.71,7.74
2011-06-30,16.85,$1.65,10.22
2011-03-31,15.19,$1.51,10.06
2010-12-31,14.57,$1.45,10.05
2010-09-30,14.92,$1.49,10.01
2010-06-30,14.71,$1.54,9.55
2010-03-31,14.99,$1.73,8.66
2009-12-31,12.73,$1.71,7.45
