Reynolds Consumer Products PE Ratio Historical Data,Reynolds Consumer Products PE Ratio Historical Data,Reynolds Consumer Products PE Ratio Historical Data,Reynolds Consumer Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.46,,17.81
2024-06-30,27.77,$1.71,16.24
2024-03-31,28.12,$1.57,17.91
2023-12-31,26.21,$1.42,18.46
2023-09-30,24.82,$1.28,19.39
2023-06-30,27.14,$1.14,23.8
2023-03-31,26.2,$1.07,24.48
2022-12-31,28.33,$1.24,22.85
2022-09-30,24.4,$1.23,19.84
2022-06-30,25.38,$1.31,19.37
2022-03-31,27.08,$1.44,18.81
2021-12-31,28.76,$1.54,18.67
2021-09-30,24.85,$1.57,15.83
2021-06-30,27.37,$1.80,15.21
2021-03-31,26.66,$1.95,13.67
2020-12-31,26.68,$1.74,15.33
